morphemes	target	prediction	morphemes_predseg	prediction_predseg
o_shishino	PossConc6_NStem	NPrePre11_NStem	a_u_(lu)_shishino	PossConc6_NPrePre11_BPre11_NStem
.	Punc	Punc	.	Punc
nga_okwa_lapha	AdvPre_AdvPre_Adv	AdvPre_AdvPre_Adv	nga_okwa_laphapha	AdvPre_AdvPre_Adv
e_Mzantsi	LocPre_ProperName	LocPre_ProperName	e_mzantsi	RelConc9_Adv
Afrika	ProperName	ProperName	afrika	NegPre
a_ku_kho	NegPre_CopPre_Adv	NegPre_CopPre_Adv	a_ku_kho	NegPre_CopPre_Adv
si_khokelo	BPre7_NStem	BPre7_NStem	si_khokelo	BPre7_NStem
sa_kwa_rhulumente	PossConc7_LocPre_NStem	PossConc7_PossConc15_NStem	si_kwa_rhulumente	PossConc7_PossConc15_NStem
si_lungis_el_el_w_e	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	si_lungis_el_el_w_e	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm
ukuba	Conj	Conj	ukuba	Conj
si_sebenz_is_w_e	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	si_sebenz_is_w_e	SC7_VRoot_CausExt_PassExt_VerbTerm
nga_oku_fan_a_yo	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	nga_oku_fan_a_yo	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf
ku_eli	LocPre_Dem5_Pos1	LocPre_Dem5	ku_eli	LocPre_Dem5
candelo	NStem	NStem	candelo	NStem
;	Punc	Punc	;	Punc
i_n_to	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_to	NPrePre9_BPre9_NStem
ke	Conj	Conj	ke	Conj
leyo	Dem9_Pos2	Dem9	leyo	Dem9
e_theth_a	RelConc9_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm	e_theth_a	RelConc9_VRoot_VerbTerm
ukuba	Conj	Conj	ukuba	Conj
u_ya	SC2ps_Fut	SC1_Fut	u_ya	SC1_Fut
ku_hlal_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_hlal_a	SC15_VRoot_VerbTerm
u_ba_khona	CopPre_CopPre_Adv	CopPre_CopPre_Adv	u_ba_khona	CopPre_CopPre_Adv
u_mahluko	NPrePre1a_NStem	NPrePre1a_NStem	u_mahluko	NPrePre1a_NStem
ku_i_zi_khokelo	LocPre_NPrePre8_BPre8_NStem	LocPre_NPrePre8_BPre8_NStem	ku_i_zi_khokelo	LocPre_NPrePre8_BPre8_NStem
ezi_sebenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc10_VRoot_CausExt_PassExt_VerbTerm	ezi_sebenz_is_w_a	RelConc10_VRoot_CausExt_PassExt_VerbTerm
nga_a_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	nga_a_ma_sebe	AdvPre_NPrePre6_BPre6_NStem
nga_a_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	nga_a_ma_sebe	AdvPre_NPrePre6_BPre6_NStem
nga_a_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	nga_a_ma_sebe	AdvPre_NPrePre6_BPre6_NStem
ka_u_rhulumente	PossKA_NPrePre1a_NStem	PossKA_NPrePre1a_NStem	ka_u_rhulumente	PossKA_NPrePre1a_NStem
.	Punc	Punc	.	Punc
a_ma_lungu	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_lungu	NPrePre6_BPre6_NStem
a_i_(z)i_komiti	PossConc6_NPrePre10_BPre10_NStem	PossConc6_NPrePre10_BPre10_NStem	a_i_(z)i_komiti	PossConc6_NPrePre10_BPre10_NStem
za_i_(z)i_wadi	PossConc10_NPrePre10_BPre10_NStem	PossConc10_NPrePre10_BPre10_NStem	za_i_(z)i_wadi	PossConc10_NPrePre10_BPre10_NStem
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_funek_a	SC15_VRoot_VerbTerm
a_be	CopPre_Cop	CopPre_Cop	a_be	CopPre_Cop
na_u_lu_azi	AdvPre_NPrePre11_BPre11_NStem	AdvPre_NPrePre11_BPre11_NStem	na_u_lu_azi	AdvPre_NPrePre11_BPre11_NStem
nga_i_Project	AdvPre_NPrePre9_Foreign	AdvPre_NPrePre9_Foreign	nga_i_project	AdvPre_NPrePre9_Foreign
Cycle	Foreign	Foreign	cycle	VRoot
Management	Foreign	Foreign	management	Foreign
(	Punc	Punc	(	Punc
PCM	Abbr	Abbr	pcm	Abbr
)	Punc	Punc	)	Punc
,	Punc	Punc	,	Punc
u_lawulo	NPrePre11_NStem	NPrePre11_NStem	u_lawulo	NPrePre11_NStem
lwa_u_m_jikelo	PossConc11_NPrePre3_BPre3_NStem	PossConc11_NPrePre3_BPre3_NStem	lwa_u_m_jikelo	PossConc11_NPrePre3_BPre3_NStem
wa_i_projekthi	PossConc3_NPrePre9_NStem	PossConc3_NPrePre9_NStem	wa_i_projekthi	PossConc3_NPrePre9_NStem
,	Punc	Punc	,	Punc
njenga_oko	AdvPre_Dem15_Pos2	AdvPre_Dem15	njenga_oko	AdvPre_Dem15
i_se_so_na	NPrePre9_SC7_PronStem7_PronSuf	NPrePre7_NStem_PronStem7_PronSuf	i_s_e_so_na	CopPre_SC7_LocPre_PronStem7_PronSuf
si_khokelo	BPre7_NStem	BPre7_NStem	si_khokelo	BPre7_NStem
si_kholis_e	SC7_VRoot_VerbTerm	SC7_VRoot_VerbTerm	si_kholis_e	SC7_VRoot_VerbTerm
ka_khulu	AdvPre_AdjStem	AdvPre_AdjStem	ka_khulu	AdvPre_AdjStem
u_ku_sebenz_is_w_a	NPrePre15_SC15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	u_ku_sebenz_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
.	Punc	Punc	.	Punc
i_zi_gaba	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_gaba	NPrePre8_BPre8_NStem
nga_i_zi_gaba	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	nga_i_zi_gaba	AdvPre_NPrePre8_BPre8_NStem
za_u_m_jikelo	PossConc8_NPrePre3_BPre3_NStem	PossConc8_NPrePre3_BPre3_NStem	za_u_m_jikelo	PossConc8_NPrePre3_BPre3_NStem
wa_i_projekthi	PossConc3_NPrePre9_NStem	PossConc3_NPrePre9_NStem	wa_i_projekthi	PossConc3_NPrePre9_NStem
zi_se_na_(a)kwahluk_a	SC10_Pro_AdvPre_VRoot_VerbTerm	SC10_Pro_AdvPre_VRoot_VerbTerm	zi_se_na_u_ku_ahluk_a	SC10_Pro_AdvPre_NPrePre15_BPre15_VRoot_VerbTerm
nga_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem	AdvPre_NPrePre9_BPre9_NStem	nga_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem
ezi_ahlul_a_hlul_w_a	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm	ezi_ahlul_a_hlul_w_a	RelConc10_VRoot_VerbTerm_VRoot_PassExt_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9	nga_yo	AdvPre_PronStem9
na_ng_a_ma_gama	AdvPre_CopPre_NPrePre6_BPre6_NStem	AdvPre_AdvPre_NPrePre6_BPre6_NStem	na_ng_a_ma_gama	AdvPre_AdvPre_NPrePre6_BPre6_NStem
a_zo	PossConc6_PronStem10	PossConc6_PronStem10	a_zo	PossConc6_PronStem10
,	Punc	Punc	,	Punc
nga_okwa_ba_niki	AdvPre_AdvPre_BPre2_NStem	AdvPre_AdvPre_BPre2_NStem	nga_okwa_ba_niki	AdvPre_AdvPre_BPre2_NStem
ba_i_n_kxaso_mali	PossConc2_NPrePre9_BPre9_NStem_NStem	PossConc2_NPrePre9_BPre9_NStem_NStem	ba_i_n_kxaso_mali	PossConc2_NPrePre9_BPre9_NStem_NStem
okanye	Conj	Conj	okanye	Conj
nga_okwa_ma_sebe	AdvPre_AdvPre_BPre6_NStem	AdvPre_AdvPre_BPre6_NStem	nga_okwa_a_ma_sebe	AdvPre_AdvPre_NPrePre6_BPre6_NStem
ka_u_rhulumente	PossKA_NPrePre1a_NStem	PossKA_NPrePre1a_NStem	ka_u_rhulumente	PossKA_NPrePre1a_NStem
.	Punc	Punc	.	Punc
i_ngaba	SC9_Interrog	SC9_Interrog	i_ngaba	SC9_Interrog
a_ma_khosikazi	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_khosikazi	NPrePre6_BPre6_NStem
a_jong_an_a	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	a_jong_an_a	SC6_VRoot_RecipExt_VerbTerm
na_yo	AdvPre_PronStem4	AdvPre_PronStem9	na_yo	AdvPre_PronStem9
na_yi_phi	AdvPre_EnumConc9_EnumStem	AdvPre_EnumConc9_EnumStem	na_yi_phi	AdvPre_EnumConc9_EnumStem
na	Interrog	Interrog	na	Interrog
i_mi_qobo	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_qobo	NPrePre4_BPre4_NStem
okanye	Conj	Conj	okanye	Conj
i_zi_thintelo	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_thintelo	NPrePre8_BPre8_NStem
e_u_ku_thath_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	e_u_ku_thath_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
i_n_xaxheba	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_xaxheba	NPrePre9_BPre9_NStem
ku_i_mi_sebenzi	LocPre_NPrePre4_BPre4_NStem	LocPre_NPrePre4_BPre4_NStem	ku_i_mi_sebenzi	LocPre_NPrePre4_BPre4_NStem
ya_i_n_kqubo	PossConc4_NPrePre9_BPre9_NStem	PossConc9_NPrePre9_BPre9_NStem	ya_i_n_kqubo	PossConc9_NPrePre9_BPre9_NStem
?	Punc	Punc	?	Punc
a_ma_doda	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_doda	NPrePre6_BPre6_NStem
wo_na	PronStem6_PronSuf	PronStem3_PronSuf	wo_na	PronStem3_PronSuf
?	Punc	Punc	?	Punc
ukuba	Conj	Conj	ukuba	Conj
ku_njalo	CopPre_Adv	CopPre_Adv	ku_njalo	CopPre_Adv
,	Punc	Punc	,	Punc
olu_phi	RelConc11_EnumStem	RelConc11_Interrog	olu_phi	RelConc11_Interrog
u_hlobo	NPrePre11_NStem	NPrePre11_NStem	u_hlobo	NPrePre11_NStem
?	Punc	Punc	?	Punc
i_Batho	NPrePre9_ProperName	NPrePre9_ProperName	i_batho	NPrePre9_NStem
Pele	ProperName	ProperName	pele	Adv
i_ding_a	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm	i_ding_a	SC9_VRoot_VerbTerm
ukuba	Conj	Conj	ukuba	Conj
'	Punc	Punc	'	Punc
wo_nke	QuantConc1_QuantStem	QuantConc1_QuantStem	wo_nke	QuantConc1_QuantStem
u_m_ntu	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem	u_m_ntu	NPrePre1_BPre1_NStem
o_sebenz_a	RelConc1_VRoot_VerbTerm	RelConc1_VRoot_VerbTerm	o_sebenz_a	RelConc1_VRoot_VerbTerm
ku_i_n_khonzo	LocPre_NPrePre9_BPre9_NStem	LocPre_NPrePre9_BPre9_NStem	ku_i_n_konzo	LocPre_NPrePre9_BPre9_NStem
ya_u_lu_ntu	PossConc9_NPrePre11_BPre11_NStem	PossConc9_NPrePre11_BPre11_NStem	ya_u_lu_ntu	PossConc9_NPrePre11_BPre11_NStem
a_be	CopPre_Cop	CopPre_Cop	a_be	CopPre_Cop
na_i_(li)_qhayiya	AdvPre_NPrePre5_BPre5_NStem	AdvPre_NPrePre5_BPre5_NStem	na_i_(li)_qhayiy_a	AdvPre_NPrePre5_BPre5_VRoot_VerbTerm
nga_ukuba	AdvPre_Conj	AdvPre_Conj	nga_ukuba	AdvPre_Conj
ng_u_m_khonzi	CopPre_NPrePre1_BPre1_NStem	CopPre_NPrePre3_BPre3_NStem	ng_u_m_khonzi	CopPre_NPrePre3_BPre3_NStem
wa_a_ba_ntu	PossConc1_NPrePre2_BPre2_NStem	PossConc3_NPrePre2_BPre2_NStem	wa_a_ba_ntu	PossConc3_NPrePre2_BPre2_NStem
'	Punc	Punc	'	Punc
ukuze	Conj	Conj	ukuze	Conj
i_mi_thetho_si_seko	NPrePre4_BPre4_NStem_BPre7_NStem	NPrePre4_BPre4_NStem_BPre7_NStem	i_mi_thetho_si_seko	NPrePre4_BPre4_NStem_BPre7_NStem
esi_i_si_bhozo	RelConc7_NPrePre7_BPre7_NStem	RelConc7_NPrePre7_BPre7_NStem	a_i_si_bhozo	PossConc6_NPrePre7_BPre7_NStem
a_(i)m_is_w_e	RelConc4_VRoot_CausExt_PassExt_VerbTerm	SC6_VRoot_CausExt_PassExt_VerbTerm	e_m_is_w_e	RelConc9_VRoot_CausExt_PassExt_VerbTerm
ku_wiso_m_thetho	LocPre_NStem_BPre3_NStem	LocPre_NStem_BPre3_NStem	ku_wiso_m_thetho	LocPre_NStem_BPre3_NStem
i_be	CopPre_Cop	CopPre_Cop	i_be	CopPre_Cop
s_i_si_seko	CopPre_NPrePre7_BPre7_NStem	CopPre_NPrePre7_BPre7_NStem	s_i_si_seko	CopPre_NPrePre7_BPre7_NStem
esi_ng_u_m_bindi	RelConc7_CopPre_NPrePre3_BPre3_NStem	RelConc7_CopPre_NPrePre3_BPre3_NStem	esi_ng_u_m_bindi	RelConc7_CopPre_NPrePre3_BPre3_NStem
wa_u_(lu)_phuhliso	PossConc3_NPrePre11_BPre11_NStem	PossConc3_NPrePre11_BPre11_NStem	wa_u_(lu)_phuhliso	PossConc3_NPrePre11_BPre11_NStem
lu_ka_rhulumente	PossConc11_PossKA_NStem	PossConc11_PossKA_NStem	lu_ka_rhulumente	PossConc11_PossKA_NStem
wa_i_n_gingqi	PossConc1a_NPrePre9_BPre9_NStem	PossConc1a_NPrePre9_BPre9_NStem	wa_i_n_gingqi	PossConc1a_NPrePre9_BPre9_NStem
apho	Dem16_Pos2	Dem16	apho	Dem16
i_zi_dingo	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_dingo	NPrePre8_BPre8_NStem
za_a_ba_hlali	PossConc2_NPrePre2_BPre2_NStem	PossConc10_NPrePre2_BPre2_NStem	za_a_ba_hlali	PossConc10_NPrePre2_BPre2_NStem
zi_nga_qal_is_a	SC8_Pot_VRoot_CausExt_VerbTerm	SC10_Pot_VRoot_CausExt_VerbTerm	zi_nga_qal_is_a	SC10_Pot_VRoot_CausExt_VerbTerm
u_ku_enz_iw_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	u_ku_enz_iw_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm
khona	Adv	Adv	khona	Adv
.	Punc	Punc	.	Punc
u_ku_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	u_ku_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm
nga_a_ma_bakala	AdvPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	nga_a_ma_bakala	AdvPre_NPrePre6_BPre6_NStem
a_i_mephu	PossConc6_NPrePre9_NStem	PossConc6_NPrePre9_NStem	e_i_mephu	LocPre_NPrePre9_NStem
ya_i_n_dlela	PossConc9_NPrePre9_BPre9_NStem	PossConc9_NPrePre9_BPre9_NStem	ya_i_n_dlela	PossConc9_NPrePre9_BPre9_NStem
nga_u_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	nga_u_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
i_datha	NPrePre9_NStem	NPrePre9_NStem	i_datha	NPrePre9_NStem
projektha	NStem	NStem	projektha	NStem
,	Punc	Punc	,	Punc
okanye	Conj	Conj	okanye	Conj
i_projektha	NPrePre9_NStem	NPrePre9_NStem	i_projektha	NPrePre9_NStem
e_bon_is_a	RelConc9_VRoot_CausExt_VerbTerm	RelConc9_VRoot_CausExt_VerbTerm	e_bon_is_a	RelConc9_VRoot_CausExt_VerbTerm
phezu	Adv	Adv	phezu	Adv
kwa_i_(z)in_tloko	PossConc15_NPrePre10_BPre10_NStem	PossConc15_NPrePre10_BPre10_NStem	kwa_i_(z)in_tloko	PossConc15_NPrePre10_BPre10_NStem
.	Punc	Punc	.	Punc
xa	Conj	Conj	xa	Conj
u_nge_na_a_ba_thathi_n_xaxheba	CopPre_NegPre_CopPre_NPrePre2_BPre2_NStem_BPre9_NStem	NPrePre1_NegPre_CopPre_NPrePre2_BPre2_NStem_BPre9_NStem	u_nge_na_a_ba_thi_n_xaxheba	CopPre_NegPre_CopPre_NPrePre2_BPre2_NStem_BPre9_NStem
u_nga_sebenz_is_a	SC2_Pot_VRoot_CausExt_VerbTerm	SC2ps_Pot_VRoot_CausExt_VerbTerm	u_nga_sebenz_is_a	SC2ps_Pot_VRoot_CausExt_VerbTerm
a_ma_nqaku	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_nqaku	NPrePre6_BPre6_NStem
a_i_si_fundo	PossConc6_NPrePre7_BPre7_NStem	PossConc6_NPrePre7_BPre7_NStem	a_i_si_fundo	PossConc6_NPrePre7_BPre7_NStem
a_bo	PossConc6_PronStem2	PossConc6_PronStem2	abo	Dem2
,	Punc	Punc	,	Punc
i_(li)_phepha	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	i_(li)_phepha	NPrePre5_BPre5_NStem
la_ma_52	PossConc5_BPre6_Num	PossConc5_BPre6_Num	la_ma_52	PossConc5_BPre6_Num
u_ku_landel_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_landel_a	NPrePre15_BPre15_VRoot_VerbTerm
i_n_kcazelo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_kcazelo	NPrePre9_BPre9_NStem
.	Punc	Punc	.	Punc
nga_u_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	nga_u_ku_sebenz_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
i_sa_zobe	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_sa_zobe	NPrePre7_BPre7_NStem
u_chong_a	SC2pp_VRoot_VerbTerm	SC1a_VRoot_VerbTerm	u_chong_a	SC1a_VRoot_VerbTerm
i_(li)_bakala	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	i_(li)_bakala	NPrePre5_BPre5_NStem
nga_li_nye	AdvPre_EnumConc5_EnumStem	AdvPre_EnumConc5_EnumStem	nga_li_nye	AdvPre_EnumConc5_EnumStem
.	Punc	Punc	.	Punc
u_thetha_thethwano	NPrePre11_NStem_NStem	NPrePre11_NStem_NStem	u_thetha_thethwano	NPrePre11_NStem_NStem
y_i_n_kqubo	CopPre_NPrePre9_BPre9_NStem	CopPre_NPrePre9_BPre9_NStem	y_i_n_kqubo	CopPre_NPrePre9_BPre9_NStem
apho	Dem16_Pos2	Dem16	apho	Dem16
a_ma_qela	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_qela	NPrePre6_BPre6_NStem
a_phikis_an_a	SC6_VRoot_RecipExt_VerbTerm	SC6_VRoot_RecipExt_VerbTerm	a_phikis_an_a	SC6_VRoot_RecipExt_VerbTerm
nga_i_zi_phumo	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	nga_i_zi_phumo	AdvPre_NPrePre8_BPre8_NStem
ezi_ahlukan_e_yo	RelConc8_VRoot_VerbTerm_RelSuf	RelConc10_VRoot_VerbTerm_RelSuf	ezi_ahlukan_e_yo	RelConc10_VRoot_VerbTerm_RelSuf
e_u_ku_fikelel_w_e	LocPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	LocPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	e_ku_fikelel_w_e	RelConc9_SC15_VRoot_PassExt_VerbTerm
ku_zo	LocPre_PronStem8	LocPre_PronStem10	ku_zo	LocPre_PronStem10
e_u_ku_fuman_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	e_u_ku_fuman_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
i_si_phumo	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_phumo	NPrePre7_BPre7_NStem
kwaye	Conj	Conj	kwaye	Conj
a_se_no_ku_ab_el_an_a	SC6_Pro_Pro_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	SC6_Pro_VRoot_BPre15_VRoot_ApplExt_RecipExt_VerbTerm	a_se_na_u_ku_ab_el_an_a	SC6_Pro_AdvPre_NPrePre15_BPre15_VRoot_ApplExt_RecipExt_VerbTerm
nga_u_lu_azi	AdvPre_NPrePre11_BPre11_NStem	AdvPre_NPrePre11_BPre11_NStem	nga_u_lu_azi	AdvPre_NPrePre11_BPre11_NStem
,	Punc	Punc	,	Punc
u_ku_sombulul_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_sombulul_a	NPrePre15_BPre15_VRoot_VerbTerm
i_n_gxaki	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_gxaki	NPrePre9_BPre9_NStem
,	Punc	Punc	,	Punc
u_ku_hlangabez_an_a	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	u_ku_hlangabez_an_a	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm
,	Punc	Punc	,	Punc
u_ku_thungelan_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_thungelan_a	NPrePre15_BPre15_VRoot_VerbTerm
na_u_ku_rhweb_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	na_u_ku_rhweb_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm
nga_i_zi_khundla	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	nga_i_zi_khundla	AdvPre_NPrePre8_BPre8_NStem
,	Punc	Punc	,	Punc
xa	Conj	Conj	xa	Conj
ku_fanel_ek_il_e	SC15_VRoot_NeutExt_Perf_VerbTerm	SC15_VRoot_NeutExt_Perf_VerbTerm	ku_fanel_ek_il_e	SC15_VRoot_NeutExt_Perf_VerbTerm
,	Punc	Punc	,	Punc
e_u_ku_xolelanis_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	e_u_ku_xolelan_is_a_ini	LocPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm_LocSuf
i_mi_dla	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_dla	NPrePre4_BPre4_NStem
.	Punc	Punc	.	Punc
u_ku_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	u_ku_az_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm
a_ba_ntu	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	a_ba_ntu	NPrePre2_BPre2_NStem
nga_oku_banzi	AdvPre_RelConc15_RelStem	AdvPre_RelConc15_RelStem	nga_oku_banzi	AdvPre_RelConc15_RelStem
-	Punc	Punc	-	Punc
sebenz_is_a	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm	sebenz_is_a	VRoot_CausExt_VerbTerm
i_(z)in_dlela	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_dlela	NPrePre10_BPre10_NStem
za_u_ku_az_is_a	PossConc10_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	PossConc10_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	za_u_ku_az_is_a	PossConc10_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
i_(z)i_komiti	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)i_komiti	NPrePre10_BPre10_NStem
