word	seg	parse
ekusetshenzisweni	e-ku-sebenz-is-w-a-ini	e[LocPre]-ku[BPre15]-sebenz[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]-ini[LocSuf]
kwazo	kwa-zo	kwa[PossConc15]-zo[PronStem10]
kamuva	ka-mu-va	ka[AdvPre]-mu[BPre1]-va[Adv]
.	.	.[Punc]
Amathimba	a-ma-thimba	a[NPrePre6]-ma[BPre6]-thimba[NStem]
amaphrojekthi	a-ma-phrojekthi	a[NPrePre6]-ma[BPre6]-phrojekthi[NStem]
asebenzisa	a-sebenz-is-a	a[SC6]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
izinkomba	i-zin-khomb-a	i[NPrePre10]-zin[BPre10]-khomb[VRoot]-a[VerbTerm]
ukuze	ukuze	ukuze[Conj]
aqaphele	a-qaphel-e	a[RelConc6]-qaphel[VRoot]-e[VerbTerm]
inqubekelaphambili	i-n-qubekelaphambili	i[NPrePre9]-n[BPre9]-qubekelaphambili[NStem]
.	.	.[Punc]
Izinkomba	i-zin-khomba	i[NPrePre10]-zin[BPre10]-khomba[NStem]
zingokuhlosiwe	zi-ng-oku-hlos-iw-e	zi[SC10]-ng[CopPre]-oku[RelConc15]-hlos[VRoot]-iw[PassExt]-e[VerbTerm]
okukhombisa	oku-khomb-is-a	oku[RelConc15]-khomb[VRoot]-is[CausExt]-a[VerbTerm]
ukuthi	ukuthi	ukuthi[Conj]
ngabe	ngabe	ngabe[Conj]
izinjongo	i-zin-jongo	i[NPrePre10]-zin[BPre10]-jongo[NStem]
zifeziwe	zi-fez-iw-e	zi[SC10]-fez[VRoot]-iw[PassExt]-e[VerbTerm]
yini	yini	yini[Interrog]
.	.	.[Punc]
Amalogifreyimu	a-ma-logifreyimu	a[NPrePre6]-ma[BPre6]-logifreyimu[NStem]
kwesinye	ku-esi-nye	ku[LocPre]-esi[AdjPref7]-nye[AdjStem]
isikhathi	i-si-khathi	i[NPrePre7]-si[BPre7]-khathi[NStem]
abiza	a-biz-e	a[SC6]-biz[VRoot]-e[VerbTerm]
izinkomba	i-zin-khomb-a	i[NPrePre10]-zin[BPre10]-khomb[VRoot]-a[VerbTerm]
'	'	'[Punc]
ngezinkomba	nge-zin-komba	nge[AdvPre]-zin[BPre10]-komba[NStem]
eziqinisekiswe	ezi-qinisek-is-w-e	ezi[RelConc10]-qinisek[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
ngokungachemi	nga-u-ku-nga-chem-i	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-nga[NegPre]-chem[VRoot]-i[VerbTerm]
'	'	'[Punc]
.	.	.[Punc]
Izinkomba	i-zin-khomb-a	i[NPrePre10]-zin[BPre10]-khomb[VRoot]-a[VerbTerm]
kudingeka	ku-ding-ek-a	ku[SC15]-ding[VRoot]-ek[NeutExt]-a[VerbTerm]
ziqondane	zi-qond-an-e	zi[SC10]-qond[VRoot]-an[RecipExt]-e[VerbTerm]
,	,	,[Punc]
zenele	zi-enel-e	zi[SC10]-enel[VRoot]-e[VerbTerm]
,	,	,[Punc]
zicace	zi-cac-e	zi[SC10]-cac[VRoot]-e[VerbTerm]
,	,	,[Punc]
zilinganiseke	zi-lingan-is-ek-e	zi[SC10]-lingan[VRoot]-is[CausExt]-ek[NeutExt]-e[VerbTerm]
,	,	,[Punc]
zibe	zi-b-e	zi[SC10]-b[VRoot]-e[VerbTerm]
nokonga	na-u-ku-ong-a	na[AdvPre]-u[NPrePre15]-ku[BPre15]-ong[VRoot]-a[VerbTerm]
futhi	futhi	futhi[Conj]
zitholakale	zi-thol-akal-e	zi[SC10]-thol[VRoot]-akal[NeutExt]-e[VerbTerm]
.	.	.[Punc]
Ama-CDW	a-ma-CDW	a[NPrePre6]-ma[BPre6]-CDW[Abbr]
abantu	a-ba-ntu	a[NPrePre2]-ba[BPre2]-ntu[NStem]
bomphakathi	ba-u-m-phakathi	ba[PossConc2]-u[NPrePre3]-m[BPre3]-phakathi[Adv]
abayizinsinzakusebenza	aba-y-i-zin-sinzakusebenza	aba[RelConc2]-y[CopPre]-i[NPrePre10]-zin[BPre10]-sinzakusebenza[NStem]
abasebenza	aba-sebenz-a	aba[RelConc2]-sebenz[VRoot]-a[VerbTerm]
nomphakathi	na-u-m-phakathi	na[AdvPre]-u[NPrePre3]-m[BPre3]-phakathi[Adv]
lapho	lapho	lapho[Conj]
bekhethwe	be-kheth-w-e	be[SC2]-kheth[VRoot]-w[PassExt]-e[VerbTerm]
khona	khona	khona[AbsPron15]
futhi	futhi	futhi[Conj]
ababika	aba-bik-a	aba[RelConc2]-bik[VRoot]-a[VerbTerm]
kuwo	ku-wo	ku[LocPre]-wo[PronStem3]
ngomsebenzi	nga-u-mu-sebenzi	nga[AdvPre]-u[NPrePre3]-mu[BPre3]-sebenzi[NStem]
wabo	wa-bo	wa[PossConc3]-bo[PronStem2]
.	.	.[Punc]
Baxhaswe	ba-xhas-w-e	ba[SC2]-xhas[VRoot]-w[PassExt]-e[VerbTerm]
yiminyango	y-i-mi-nyango	y[CopPre]-i[NPrePre4]-mi[BPre4]-nyango[NStem]
kahulumeni	ka-u-hulumeni	ka[PossKA]-u[NPrePre1a]-hulumeni[NStem]
eyinhlobonhlobo	e-y-i-nhlobonhlobo	e[RelConc4]-y[CopPre]-i[NPrePre9]-nhlobonhlobo[NStem]
,	,	,[Punc]
ikakhulukazi	i-ka-khulukazi	i[NPrePre9]-ka[AdvPre]-khulukazi[NStem]
owohulumeni	o-wa-u-hulumeni	o[RelConc4]-wa[PossConc1]-u[NPrePre1]-hulumeni[NStem]
basekhaya	ba-s-e-khaya	ba[PossConc2]-s[PreLoc-s]-e[LocPre]-khaya[NStem]
.	.	.[Punc]
Umjikelezo	u-m-jikelezo	u[NPrePre3]-m[BPre3]-jikelezo[NStem]
Wokulethwa	w-okulethwa	w[PossConc1a]-okulethwa[NStem]
kwemisebenzi	kwa-i-mi-sebenzi	kwa[PossConc15]-i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
ukhonjisiwe	u-khonjisiw-e	u[SC3]-khonjisiw[VRoot]-e[VerbTerm]
kuthebula	ku-thebula	ku[BPre17]-thebula[NStem]
ekhasini	e-i-li-khasi-ini	e[LocPre]-i[NPrePre5]-li[BPre5]-khasi[NStem]-ini[LocSuf]
lama-28	la-a-ma-28	la[PossConc5]-a[NPrePre6]-ma[BPre6]-28[Num]
.	.	.[Punc]
Likhombisa	li-khomb-is-a	li[SC5]-khomb[VRoot]-is[CausExt]-a[VerbTerm]
amazinga	a-ma-zinga	a[NPrePre6]-ma[BPre6]-zinga[NStem]
omjikelezo	um-jikelezo	um[BPre3]-jikelezo[NStem]
kanye	ka-nye	ka[AdvPre]-nye[AdjStem]
nemisebenzi	na-i-mi-sebenzi	na[AdvPre]-i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
yamazinga	ya-a-ma-zinga	ya[PossConc9]-a[NPrePre6]-ma[BPre6]-zinga[NStem]
ahlukahlukene	a-hlukahluken-e	a[RelConc6]-hlukahluken[VRoot]-e[VerbTerm]
kahulumeni	ka-u-hulumeni	ka[PossKA]-u[NPrePre1a]-hulumeni[NStem]
.	.	.[Punc]
Izinga	i-li-zinga	i[NPrePre5]-li[BPre5]-zinga[NStem]
lokunikezela	lo-ku-nikezel-a	lo[PossConc5]-ku[BPre15]-nikezel[VRoot]-a[VerbTerm]
kwemisebenzi	kwa-i-mi-sebenzi	kwa[PossConc15]-i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
yilapho	yi-lapho	yi[CopPre]-lapho[Dem16][Pos2]
kwenzeka	ku-enz-ek-a	ku[SC15]-enz[VRoot]-ek[NeutExt]-a[VerbTerm]
khona	kho-na	kho[PronStem15]-na[PronSuf]
ukusebenza	u-ku-sebenz-a	u[NPrePre15]-ku[BPre15]-sebenz[VRoot]-a[VerbTerm]
kanye	ka-nye	ka[AdvPre]-nye[AdjStem]
nokugcinwa	no-ku-gcinwa	no[AdvPre]-ku[BPre15]-gcinwa[NStem]
,	,	,[Punc]
okungukunikezelwa	oku-ngu-ku-nikez-el-w-a	oku[RelConc15]-ngu[CopPre]-ku[BPre15]-nikez[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
kwemisebenzi	kwa-i-mi-sebenzi	kwa[PossConc15]-i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
ngokwempela	nga-u-kwe-m-pela	nga[AdvPre]-u[NPrePre15]-kwe[PossConc15]-m[BPre3]-pela[Adv]
.	.	.[Punc]
Ukuvikela	u-ku-vik-el-a	u[NPrePre15]-ku[BPre15]-vik[VRoot]-el[ApplExt]-a[VerbTerm]
izindawo	i-zin-dawo	i[NPrePre10]-zin[BPre10]-dawo[NStem]
zemvelo	ze-m-velo	ze[PossConc8]-m[BPre3]-velo[NStem]
ngazo	nga-zo	nga[AdvPre]-zo[PronStem10]
zonke	zo-nke	zo[QuantConc10]-nke[QuantStem]
izindlela	i-zin-dlela	i[NPrePre10]-zin[BPre10]-dlela[NStem]
,	,	,[Punc]
ukushiyela	u-ku-shiyela	u[NPrePre15]-ku[BPre15]-shiyela[NStem]
izizukulwane	i-zi-zukulwane	i[NPrePre8]-zi[BPre8]-zukulwane[NStem]
ezizayo	ezi-z-a-yo	ezi[RelConc10]-z[VRoot]-a[VerbTerm]-yo[RelSuf]
okungenani	oku-nga-nani	oku[RelConc15]-nga[AdvPre]-nani[RelStem]
isipho	i-si-pho	i[NPrePre7]-si[BPre7]-pho[NStem]
esiyinani	esi-yi-nani	esi[RelConc7]-yi[CopPre]-nani[Interrog]
elilinganayo	eli-lingan-a-yo	eli[RelConc5]-lingan[VRoot]-a[VerbTerm]-yo[RelSuf]
.	.	.[Punc]
I-MFMA	i-MFMA	i[NPrePre9]-MFMA[Abbr]
,	,	,[Punc]
ka-2003	ka-2003	ka[ExclNeg]-2003[Num]
idinga	i-ding-a	i[SC9]-ding[VRoot]-a[VerbTerm]
ukuthi	ukuthi	ukuthi[Conj]
isabelomali	i-si-abelomali	i[NPre7]-si[BPre7]-abelomali[NStem]
sikamasipala	si-ka-masipala	si[PossConc7]-ka[PossKA]-masipala[NStem]
sihambisane	si-hamb-is-an-e	si[SC7]-hamb[VRoot]-is[CausExt]-an[RecipExt]-e[VerbTerm]
ne-IDP	na-i-IDP	na[AdvPre]-i[NPrePre9]-IDP[Abbr]
.	.	.[Punc]
Ukuxhumanisa	u-ku-xhuman-is-a	u[NPrePre15]-ku[BPre15]-xhuman[VRoot]-is[CausExt]-a[VerbTerm]
isabelomali	i-si-abelomali	i[NPre7]-si[BPre7]-abelomali[NStem]
sikamasipala	si-ka-masipala	si[PossConc7]-ka[PossKA]-masipala[NStem]
ne-IDP	na-i-IDP	na[AdvPre]-i[NPrePre9]-IDP[Abbr]
kuqinisekisa	ku-qinisek-is-a	ku[SC15]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]
ukuthi	ukuthi	ukuthi[Conj]
amakhansela	a-ma-khansela	a[NPrePre6]-ma[BPre6]-khansela[NStem]
azibophezela	a-zi-bophez-el-a	a[SC6]-zi[ReflPre]-bophez[VRoot]-el[ApplExt]-a[VerbTerm]
kumiphakathi	ku-mi-phakathi	ku[LocPre]-mi[BPre4]-phakathi[NStem]
yawo	ya-wo	ya[PossConc9]-wo[PronStem3]
kanye	ka-nye	ka[AdvPre]-nye[AdjStem]
nokuthi	na-ku-th-i	na[AdvPre]-ku[BPre15]-th[VRoot]-i[VerbTerm]
izidingo	i-zi-dingo	i[NPrePre8]-zi[BPre8]-dingo[NStem]
zalabo	za-labo	za[PossConc8]-labo[Dem2][Pos2]
