word	seg	parse
namaqalela	na-a-ma-qalela	na[AdvPre]-a[NPrePre6]-ma[BPre6]-qalela[NStem]
agunyazisiweyo	a-gunyaz-is-iw-e-yo	a[RelConc6]-gunyaz[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
,	,	,[Punc]
kucingelwa	ku-cing-el-w-a	ku[SC15]-cing[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
ukuxhasa	u-ku-xhas-a	u[NPrePre15]-ku[BPre15]-xhas[VRoot]-a[VerbTerm]
la	la	la[Dem6][Pos1]
magalelo	ma-galelo	ma[BPre6]-galelo[NStem]
kubasebenzi	ku-a-ba-sebenzi	ku[LocPre]-a[NPrePre2]-ba[BPre2]-sebenzi[NStem]
abanomvuzo	aba-na-u-m-vuzo	aba[RelConc2]-na[CopPre]-u[NPrePre3]-m[BPre3]-vuzo[NStem]
osezantsi	o-s-e-zantsi	o[RelConc3]-s[PreLoc-s]-e[LocPre]-zantsi[Adv]
nabamaxesha	na-ba-ma-xesha	na[AdvPre]-ba[PossConc2]-ma[BPre6]-xesha[NStem]
athile	a-th-ile	a[RelConc6]-th[VRoot]-ile[Perf]
.	.	.[Punc]
Imvelaphi	i-m-velaphi	i[NPrePre9]-m[BPre9]-velaphi[NStem]
yangaphakathi	ya-nga-phakathi	ya[PossConc9]-nga[AdvPre]-phakathi[Adv]
:	:	:[Punc]
yenziwe	i-enz-iw-e	i[SC9]-enz[VRoot]-iw[PassExt]-e[VerbTerm]
ngumasipala	ng-u-masipala	ng[CopPre]-u[NPrePre1a]-masipala[NStem]
uqobo	u-qobo	u[NPrePre11]-qobo[NStem]
,	,	,[Punc]
umzekelo	u-m-zekelo	u[NPrePre3]-m[BPre3]-zekelo[NStem]
,	,	,[Punc]
iirhafu	i-(z)i-rhafu	i[NPrePre10]-(z)i[BPre10]-rhafu[NStem]
neenkonzo	na-i-(z)in-konzo	na[AdvPre]-i[NPrePre10]-(z)in[BPre10]-konzo[NStem]
ezinjengengqeshiso	ezi-njenga-i-n-gqeshiso	ezi[RelConc10]-njenga[AdvPre]-i[NPrePre9]-n[BPre9]-gqeshiso[NStem]
yezakhiwo	ya-i-zi-akhiwo	ya[PossConc9]-i[NPrePre8]-zi[BPre8]-akhiwo[NStem]
kunye	kunye	kunye[Conj]
nemirhumo	na-i-mi-rhumo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-rhumo[NStem]
yomsebenzisi	ya-u-m-sebenzisi	ya[PossConc4]-u[NPrePre1]-m[BPre1]-sebenzisi[NStem]
okanye	okanye	okanye[Conj]
iirhafu	i-(z)i-rhafu	i[NPrePre10]-(z)i[BPre10]-rhafu[NStem]
.	.	.[Punc]
Ukwakhiwa	u-ku-akh-iw-a	u[NPrePre15]-ku[BPre15]-akh[VRoot]-iw[PassExt]-a[VerbTerm]
kwexesha	kwa-i-(li)-xesha	kwa[PossConc15]-i[NPrePre5]-(li)[BPre5]-xesha[NStem]
elimisiweyo	eli-(i)m-is-iw-e-yo	eli[RelConc5]-(i)m[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
labahlali	la-a-ba-hlali	la[PossConc5]-a[NPrePre2]-ba[BPre2]-hlali[NStem]
,	,	,[Punc]
uhlalutyo	u-hlalutyo	u[NPrePre11]-hlalutyo[NStem]
lwezimbo	lwa-i-zi-mbo	lwa[PossConc11]-i[NPrePre8]-zi[BPre8]-mbo[NStem]
eziyimikhwa	ezi-y-i-mi-khwa	ezi[RelConc8]-y[CopPre]-i[NPrePre4]-mi[BPre4]-khwa[NStem]
yethuba	ya-i-(li)-thuba	ya[PossConc4]-i[NPrePre5]-(li)[BPre5]-thuba[NStem]
elide	eli-de	eli[AdjPref5]-de[AdjStem]
ukuze	ukuze	ukuze[Conj]
kuchongwe	ku-chong-w-e	ku[SC15]-chong[VRoot]-w[PassExt]-e[VerbTerm]
iinguqu-nguquko	i-(z)in-guqu-n-guquko	i[NPrePre10]-(z)in[BPre10]-guqu[NStem]-n[BPre10]-guquko[NStem]
ezibuyelelayo	ezi-buyel-el-a-yo	ezi[RelConc10]-buyel[VRoot]-el[ApplExt]-a[VerbTerm]-yo[RelSuf]
ezisentloko	ezi-s-e-n-tloko	ezi[RelConc10]-s[PreLoc-s]-e[LocPre]-n[BPre9]-tloko[NStem]
kwaye	kwaye	kwaye[Conj]
kwenziwe	ku-enz-iw-e	ku[SC15]-enz[VRoot]-iw[PassExt]-e[VerbTerm]
ukuba	ukuba	ukuba[Conj]
abahlali	a-ba-hlali	a[NPrePre2]-ba[BPre2]-hlali[NStem]
babe	ba-be	ba[SC2]-be[AuxVStem]
nako	na-ko	na[CopPre]-ko[PronStem15]
ukuchonga	u-ku-chong-a	u[NPrePre15]-ku[BPre15]-chong[VRoot]-a[VerbTerm]
ngokuhlalutya	nga-u-ku-hlaluty-a	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-hlaluty[VRoot]-a[VerbTerm]
impumelelo	i-m-phumelelo	i[NPrePre9]-m[BPre9]-phumelelo[NStem]
okanye	okanye	okanye[Conj]
intsilelo	i-n-tsilelo	i[NPrePre9]-n[BPre9]-tsilelo[NStem]
yeentlobo	ya-i-(z)in-tlobo	ya[PossConc9]-i[NPrePre10]-(z)in[BPre10]-tlobo[NStem]
ngeentlobo	nga-i-(z)in-tlobo	nga[AdvPre]-i[NPrePre10]-(z)in[BPre10]-tlobo[NStem]
zongenelelo	za-u-(lu)-ngenelelo	za[PossConc10]-u[NPrePre11]-(lu)[BPre11]-ngenelelo[NStem]
eziye	ezi-ye	ezi[RelConc10]-ye[AuxVStem]
zaphunyezwa	zi-a-phumez-w-a	zi[SC10]-a[Past]-phumez[VRoot]-w[PassExt]-a[VerbTerm]
ngelinge	nga-i-(li)-linge	nga[AdvPre]-i[NPrePre5]-(li)[BPre5]-linge[NStem]
lokuphucula	la-u-ku-phucul-a	la[PossConc5]-u[NPrePre15]-ku[BPre15]-phucul[VRoot]-a[VerbTerm]
uphuhliso	u-phuhliso	u[NPrePre11]-phuhliso[NStem]
loluntu	la-u-lu-ntu	la[PossConc5]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
.	.	.[Punc]
Isazobe	i-sa-zobe	i[NPrePre7]-sa[BPre7]-zobe[NStem]
se-Venn	sa-i-Venn	sa[PossConc7]-i[NPrePre9]-Venn[ProperName]
,	,	,[Punc]
uhlalutyo	u-hlalutyo	u[NPrePre11]-hlalutyo[NStem]
lweempiliso	lwa-i-(z)im-piliso	lwa[PossConc11]-i[NPrePre10]-(z)im[BPre10]-piliso[NStem]
,	,	,[Punc]
ingqiqo	i-n-gqiqo	i[NPrePre9]-n[BPre9]-gqiqo[NStem]
ngamacandelo	nga-a-ma-candelo	nga[AdvPre]-a[NPrePre6]-ma[BPre6]-candelo[NStem]
nemisebenzi	na-i-mi-sebenzi	na[AdvPre]-i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
yokwalatha	ya-u-ku-alath-a	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-alath[VRoot]-a[VerbTerm]
indlela	i-n-dlela	i[NPrePre9]-n[BPre9]-dlela[NStem]
zivelisa	zi-vel-is-a	zi[SC10]-vel[VRoot]-is[CausExt]-a[VerbTerm]
ukrwaqulo	u-krwaqulo	u[NPrePre11]-krwaqulo[NStem]
kwimeko	ku-i-meko	ku[LocPre]-i[NPrePre5]-meko[NStem]
yangoku	ya-ngoku	ya[PossConc9]-ngoku[Adv]
yabahlali	ya-a-ba-hlali	ya[PossConc9]-a[NPrePre2]-ba[BPre2]-hlali[NStem]
kwaye	kwaye	kwaye[Conj]
zikhanyisa	zi-khany-is-a	zi[SC10]-khany[VRoot]-is[CausExt]-a[VerbTerm]
iimpawu	i-(z)in-pawu	i[NPrePre10]-(z)in[BPre10]-pawu[NStem]
zobume	za-u-bu-me	za[PossConc10]-u[NPrePre14]-bu[BPre14]-me[NStem]
belizwe	ba-i-li-zwe	ba[PossConc14]-i[NPrePre5]-li[BPre5]-zwe[NStem]
,	,	,[Punc]
ubume	u-bu-me	u[NPrePre14]-bu[BPre14]-me[NStem]
bemeko	ba-i-meko	ba[PossConc14]-i[NPrePre9]-meko[NStem]
engqongileyo	e-ngqong-il-e-yo	e[RelConc9]-ngqong[VRoot]-il[Perf]-e[VerbTerm]-yo[RelSuf]
nezezithuba	na-e-za-i-zi-thuba	na[AdvPre]-e[RelConc8]-za[PossConc8]-i[NPrePre8]-zi[BPre8]-thuba[NStem]
,	,	,[Punc]
kananjalo	ka-na-njalo	ka[AdvPre]-na[AdvPre]-njalo[Adv]
njengohlalutyo	njenga-u-(lu)-hlalutyo	njenga[AdvPre]-u[NPrePre11]-(lu)[BPre11]-hlalutyo[NStem]
lweempiliso	lwa-i-(z)im-piliso	lwa[PossConc11]-i[NPrePre10]-(z)im[BPre10]-piliso[NStem]
neenkonzo	na-i-(z)in-konzo	na[AdvPre]-i[NPrePre10]-(z)in[BPre10]-konzo[NStem]
zoluntu	za-u-lu-ntu	za[PossConc10]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
.	.	.[Punc]
Ukubeka	u-ku-bek-a	u[NPrePre15]-ku[SC15]-bek[VRoot]-a[VerbTerm]
iliso	i-li-so	i[NPrePre5]-li[BPre5]-so[NStem]
kwindlela	ku-i-n-dlela	ku[LocPre]-i[NPrePre9]-n[BPre9]-dlela[NStem]
eqhuba	e-qhub-a	e[RelConc9]-qhub[VRoot]-a[VerbTerm]
ngayo	nga-yo	nga[AdvPre]-yo[PronStem9]
iprojekthi	i-projekthi	i[NPrePre9]-projekthi[NStem]
kubaluleke	ku-balulek-e	ku[SC15]-balulek[VRoot]-e[VerbTerm]
kakhulu	ka-khulu	ka[AdvPre]-khulu[AdjStem]
ekuqinisekiseni	e-u-ku-qinisek-is-a-ini	e[LocPre]-u[NPrePre15]-ku[BPre15]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]-ini[LocSuf]
ukuba	ukuba	ukuba[Conj]
ihamba	i-hamb-a	i[SC9]-hamb[VRoot]-a[VerbTerm]
ngokwesicwangciso	nga-okwa-i-si-cwangciso	nga[AdvPre]-okwa[AdvPre]-i[NPrePre7]-si[BPre7]-cwangciso[NStem]
nokuba	na-ukuba	na[AdvPre]-ukuba[Conj]
imingcipheko	i-mi-ngcipheko	i[NPrePre4]-mi[BPre4]-ngcipheko[NStem]
emitsha	emi-tsha	emi[AdjPref4]-tsha[AdjStem]
neenguqu	na-i-(z)in-guqu	na[AdvPre]-i[NPrePre10]-(z)in[BPre10]-guqu[NStem]
ezintsha	ezin-tsha	ezin[AdjPref10]-tsha[AdjStem]
ziyabonwa	zi-ya-bon-w-a	zi[SC10]-ya[Pres]-bon[VRoot]-w[PassExt]-a[VerbTerm]
,	,	,[Punc]
zize	zi-ze	zi[SC10]-ze[AuxVStem]
ke	ke	ke[Conj]
zilungiselelwe	zi-lungis-el-el-w-e	zi[SC10]-lungis[VRoot]-el[ApplExt]-el[ApplExt]-w[PassExt]-e[VerbTerm]
kwixesha	ku-i-(li)-xesha	ku[LocPre]-i[NPrePre5]-(li)[BPre5]-xesha[NStem]
elizayo	eli-z-a-yo	eli[RelConc5]-z[VRoot]-a[VerbTerm]-yo[RelSuf]
xa	xa	xa[Conj]
kuqhutywa	ku-qhub-w-a	ku[SC15]-qhub[VRoot]-w[PassExt]-a[VerbTerm]
.	.	.[Punc]
Amaqela	a-ma-qela	a[NPrePre6]-ma[BPre6]-qela[NStem]
eprojekthi	a-i-projekthi	a[PossConc6]-i[NPrePre9]-projekthi[NStem]
asebenzisa	a-sebenz-is-a	a[SC6]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
iziphumo	i-zi-phumo	i[NPrePre8]-zi[BPre8]-phumo[NStem]
ekubekeni	e-u-ku-bek-a-ini	e[LocPre]-u[NPrePre15]-ku[BPre15]-bek[VRoot]-a[VerbTerm]-ini[LocSuf]
iliso	i-li-so	i[NPrePre5]-li[BPre5]-so[NStem]
kwinkqubo	ku-i-n-kqubo	ku[LocPre]-i[NPrePre9]-n[BPre9]-kqubo[NStem]
yeprojekthi	ya-i-projekthi	ya[PossConc9]-i[NPrePre9]-projekthi[NStem]
.	.	.[Punc]
Iziphumo	i-zi-phumo	i[NPrePre8]-zi[BPre8]-phumo[NStem]
ziinkalo	z-i-(z)in-kalo	z[CopPre]-i[NPrePre10]-(z)in[BPre10]-kalo[NStem]
ekujoliswa	e-u-ku-jolis-w-a	e[LocPre]-u[NPrePre15]-ku[BPre15]-jolis[VRoot]-w[PassExt]-a[VerbTerm]
kuzo	ku-zo	ku[LocPre]-zo[PronStem8]
ezibonakalisayo	ezi-bon-akal-is-a-yo	ezi[RelConc8]-bon[VRoot]-akal[NeutExt]-is[CausExt]-a[VerbTerm]-yo[RelSuf]
ukuba	ukuba	ukuba[Conj]
ngaba	ngaba	ngaba[Conj]
zifezekisekile	zi-fezek-is-ek-ile	zi[SC10]-fezek[VRoot]-is[CausExt]-ek[NeutExt]-ile[Perf]
na	na	na[Interrog]
iinjongo	i-(z)in-jongo	i[NPrePre10]-(z)in[BPre10]-jongo[NStem]
zeprojekthi	za-i-projekthi	za[PossConc10]-i[NPrePre9]-projekthi[NStem]
.	.	.[Punc]
Ngamanye	nga-ama-nye	nga[AdvPre]-ama[AdjPref6]-nye[AdjStem]
amaxesha	a-ma-xesha	a[NPrePre6]-ma[BPre6]-xesha[NStem]
iziphumo	i-zi-phumo	i[NPrePre8]-zi[BPre8]-phumo[NStem]
kuthiwa	ku-th-iw-a	ku[SC15]-th[VRoot]-iw[PassExt]-a[VerbTerm]
'	'	'[Punc]
ziziphumo	z-i-zi-phumo	z[CopPre]-i[NPrePre8]-zi[BPre8]-phumo[NStem]
ezingqinisisekayo	ezi-ngqin-is-is-ek-a-yo	ezi[RelConc8]-ngqin[VRoot]-is[CausExt]-is[CausExt]-ek[NeutExt]-a[VerbTerm]-yo[RelSuf]
ngobunjalo	nga-u-bu-njalo	nga[AdvPre]-u[NPrePre14]-bu[BPre14]-njalo[Adv]
bazo	ba-zo	ba[PossConc14]-zo[PronStem8]
'	'	'[Punc]
.	.	.[Punc]
Iziphumo	i-zi-phumo	i[NPrePre8]-zi[BPre8]-phumo[NStem]
kufuneka	ku-funek-a	ku[SC15]-funek[VRoot]-a[VerbTerm]
ukuba	ukuba	ukuba[Conj]
zifaneleke	zi-fanel-ek-e	zi[SC8]-fanel[VRoot]-ek[NeutExt]-e[VerbTerm]
,	,	,[Punc]
zanele	zi-anel-e	zi[SC8]-anel[VRoot]-e[VerbTerm]
,	,	,[Punc]
zithi	zi-th-i	zi[SC8]-th[VRoot]-i[VerbTerm]
gca	gca	gca[Ideoph]
,	,	,[Punc]
zikwazi	zi-ku-az-i	zi[SC10]-ku[BPre15]-az[VRoot]-i[VerbTerm]
ukungqinisiseka	u-ku-ngqin-is-is-ek-a	u[NPrePre15]-ku[BPre15]-ngqin[VRoot]-is[CausExt]-is[CausExt]-ek[NeutExt]-a[VerbTerm]
,	,	,[Punc]
zingabi	zi-nga-bi	zi[SC8]-nga[CopPre]-bi[Cop]
nazindleko	na-zin-dleko	na[AdvPre]-zin[BPre10]-dleko[NStem]
ziphezulu	zi-phezulu	zi[RelConc10]-phezulu[Adv]
kwaye	kwaye	kwaye[Conj]
zifumaneke	zi-fuman-ek-e	zi[SC10]-fuman[VRoot]-ek[NeutExt]-e[VerbTerm]
.	.	.[Punc]
Ii-CDW	i-(z)i-CDW	i[NPrePre10]-(z)i[BPre10]-CDW[Abbr]
ngabantu	ng-a-ba-ntu	ng[CopPre]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
abangovimba	aba-ng-oo-vimba	aba[NPrePre2]-ng[CopPre]-oo[NPrePre2a]-vimba[NStem]
abasekelwe	aba-sek-el-w-e	aba[RelConc2]-sek[VRoot]-el[ApplExt]-w[PassExt]-e[VerbTerm]
eluntwini	e-u-lu-ntu-ini	e[LocPre]-u[NPrePre11]-lu[BPre11]-ntu[NStem]-ini[LocSuf]
nabasebenza	na-aba-sebenz-a	na[AdvPre]-aba[RelConc2]-sebenz[VRoot]-a[VerbTerm]
kwimimandla	ku-i-mi-mandla	ku[LocPre]-i[NPrePre4]-mi[BPre4]-mandla[NStem]
abonyulelwe	aba-nyul-el-w-e	aba[RelConc2]-nyul[VRoot]-el[ApplExt]-w[PassExt]-e[VerbTerm]
yona	yo-na	yo[PronStem4]-na[PronSuf]
,	,	,[Punc]
apho	apho	apho[Dem16][Pos2]
bahlala	ba-hlal-a	ba[SC2]-hlal[VRoot]-a[VerbTerm]
khona	khona	khona[Adv]
nalapho	na-l-apho	na[AdvPre]-l[CopPre]-apho[Dem16][Pos2]
baphendulwa	ba-phendul-w-a	ba[SC2]-phendul[VRoot]-w[PassExt]-a[VerbTerm]
khona	khona	khona[Adv]
kwimisebenzi	ku-i-mi-sebenzi	ku[LocPre]-i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
yabo	ya-bo	ya[PossConc4]-bo[PronStem2]
.	.	.[Punc]
Baxhaswa	ba-xhas-w-a	ba[SC2]-xhas[VRoot]-w[PassExt]-a[VerbTerm]
luluhlu	lu-u-lu-hlu	lu[CopPre]-u[NPrePre11]-lu[BPre11]-hlu[NStem]
lwamasebe	lwa-a-ma-sebe	lwa[PossConc11]-a[NPrePre6]-ma[BPre6]-sebe[NStem]
karhulumente	ka-u-rhulumente	ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
,	,	,[Punc]
ingakumbi	i-ngakumbi	i[SC9]-ngakumbi[Adv]
urhulumente	u-rhulumente	u[NPrePre1a]-rhulumente[NStem]
wengingqi	wa-i-n-gingqi	wa[RelConc1]-i[NPrePre9]-n[BPre9]-gingqi[NStem]
.	.	.[Punc]
UMjikelo	u-m-jikelo	u[NPrePre3]-m[BPre3]-jikelo[NStem]
woNikezelo	wa-u-nikezelo	wa[PossConc3]-u[NPrePre3]-nikezelo[NStem]
lweeNkonzo	lwa-i-(z)in-konzo	lwa[PossConc11]-i[NPrePre10]-(z)in[BPre10]-konzo[NStem]
uboniswe	u-bon-is-w-e	u[SC3]-bon[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
kuluhlu	ku-u-lu-hlu	ku[LocPre]-u[NPrePre11]-lu[BPre11]-hlu[NStem]
olukwiphepha	olu-ku-i-(li)-phepha	olu[RelConc11]-ku[LocPre]-i[NPrePre5]-(li)[BPre5]-phepha[NStem]
lama-28	la-ma-28	la[PossConc5]-ma[BPre2]-28[Num]
.	.	.[Punc]
Lubonisa	lu-bon-is-a	lu[SC11]-bon[VRoot]-is[CausExt]-a[VerbTerm]
amanqanaba	a-ma-nqanaba	a[NPrePre6]-ma[BPre6]-nqanaba[NStem]
omjikelo	a-u-m-jikelo	a[PossConc6]-u[NPrePre3]-m[BPre3]-jikelo[NStem]
noxanduva	na-u-(lu)-xanduva	na[AdvPre]-u[NPrePre11]-(lu)[BPre11]-xanduva[NStem]
lomgangatho	lwa-u-m-gangatho	lwa[PossConc11]-u[NPrePre3]-m[BPre3]-gangatho[NStem]
ngamnye	nga-m-nye	nga[AdvPre]-m[EnumConc3]-nye[EnumStem]
karhulumente	ka-u-rhulumente	ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
.	.	.[Punc]
Inqanam	i-(li)-nqanam	i[NPrePre5]-(li)[BPre5]-nqanam[NStem]
lamalungiselelo	la-ma-lungiselelo	la[PossConc5]-ma[BPre6]-lungiselelo[NStem]
eenkonzo	a-i-zin-konzo	a[PossConc6]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
kulapho	ku-l-apho	ku[CopPre]-l[CopPre]-apho[Dem16][Pos2]
umsebenzi	u-m-sebenzi	u[NPrePre3]-m[BPre3]-sebenzi[NStem]
nokugcinwa	na-u-ku-gcin-w-a	na[AdvPre]-u[NPrePre15]-ku[BPre15]-gcin[VRoot]-w[PassExt]-a[VerbTerm]
kwenzeka	ku-enz-ek-a	ku[SC15]-enz[VRoot]-ek[NeutExt]-a[VerbTerm]
khona	khona	khona[Adv]
,	,	,[Punc]
nokungowona	na-u-ku-ng-o-wo-na	na[AdvPre]-u[NPrePre15]-ku[SC15]-ng[CopPre]-o[LocPre]-wo[PronStem3]-na[PronSuf]
malungiselelo	ma-lungiselelo	ma[BPre6]-lungiselelo[NStem]
eenkonzo	a-i-zin-konzo	a[PossConc6]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
.	.	.[Punc]
Likhusele	li-khusel-e	li[SC5]-khusel[VRoot]-e[VerbTerm]
okusingqongileyo	oku-si-ngqong-il-e-yo	oku[RelConc15]-si[OC1pp]-ngqong[VRoot]-il[Perf]-e[VerbTerm]-yo[RelSuf]
kwendalo	kwa-i-n-dalo	kwa[PossConc15]-i[NPrePre9]-n[BPre9]-dalo[NStem]
ngazo	nga-zo	nga[AdvPre]-zo[PronStem10]
zonke	zo-nke	zo[QuantConc10]-nke[QuantStem]
iindlela	i-(z)in-dlela	i[NPrePre10]-(z)in[BPre10]-dlela[NStem]
,	,	,[Punc]
kushiyelwa	ku-shiy-el-w-a	ku[SC15]-shiy[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
isizukulwane	i-si-zukulwane	i[NPrePre7]-si[BPre7]-zukulwane[NStem]
esilandelayo	esi-landel-a-yo	esi[RelConc7]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
ubuncinane	u-bu-ncinane	u[NPrePre14]-bu[BPre14]-ncinane[AdjStem]
umnikelo	u-m-nikelo	u[NPrePre3]-m[BPre3]-nikelo[NStem]
wexabiso	wa-i-(li)-xabiso	wa[PossConc3]-i[NPrePre5]-(li)[BPre5]-xabiso[NStem]
elilinganayo	eli-lingan-a-yo	eli[RelConc5]-lingan[VRoot]-a[VerbTerm]-yo[RelSuf]
.	.	.[Punc]
I-MFMA	i-MFMA	i[NPrePre9]-MFMA[Abbr]
,	,	,[Punc]
2003	2003	2003[Num]
ifuna	i-fun-a	i[SC9]-fun[VRoot]-a[VerbTerm]
ukuba	ukuba	ukuba[Conj]
