!	![Punc]
"	"[Punc]
emkhatsini	e[LocPre]-m[BPre]-khatsi[NStem]-ini[LocSuf]
emmangweni	e[LocPre]-u[NPrePre]-mu[BPre]-mango[NStem]-ini[LocSuf]
emsebentini	e[LocPre]-mu[BPre]-sebenti[NStem]-ini[LocSuf]
emuva	e[LocPre]-mu[BPre]-va[Adv]
emva	emva[Adv]
encenye	encenye[Conj]
enchubeni	e[LocPre]-in[NPre]-chubo[NStem]-ini[LocSuf]
endzaweni	e[LocPre]-n[NPre]-dzawo[NStem]-ini[LocSuf]
es	es[ProperName]
etindzabeni	e[LocPre]-tin[BPre]-dzaba[NStem]-ini[LocSuf]
etintfweni	e[LocPre]-tin[BPre]-tfo[NStem]-ini[LocSuf]
ezingeni	e[LocPre]-li[BPre]-zinga[NStem]-ini[LocSuf]
fenisi	fenisi[NStem]
fet	fet[Abbr]
flats	flats[Foreign]
for	for[Foreign]
function	function[Foreign]
futsi	futsi[Conj]
gauteng	gauteng[ProperName]
gesi	gesi[NStem]
gezi	gezi[NStem]
government	government[Foreign]
guide	guide[Foreign]
hhayi	hhayi[Interjec]
hiv	hiv[Abbr]
hlala	hlala[NStem]
hlangotsi	hlangotsi[NStem]
hlelisa	hlelisa[NStem]
hlelo	hlelo[NStem]
hlobo	hlobo[NStem]
hola	hola[NStem]
hulumende	hulumende[NStem]
i	i[Foreign]
i.e.	i.e.[Abbr]
ibe	ibe[Adv]
icbp	icbp[Abbr]
ict	ict[Abbr]
idp	idp[Abbr]
idzinga	i[SC]-dzing[VRoot]-a[VerbTerm]
ifaka	i[SC]-fak[VRoot]-a[VerbTerm]
ifake	i[SC]-fak[VRoot]-e[VerbTerm]
ikakhulukati	i[BPre]-ka[AdvPre]-khulukati[Adv]
imfundvo	i[NPrePre]-n[BPre]-fundvo[NStem]
imibiko	i[NPrePre]-mi[BPre]-biko[NStem]
imibono	i[NPrePre]-mi[BPre]-bono[NStem]
imibuto	i[NPrePre]-mi[BPre]-buto[NStem]
imigomo	i[NPrePre]-mi[BPre]-gomo[NStem]
imininingwane	i[NPrePre]-mi[BPre]-niningwane[NStem]
imisebenti	i[NPrePre]-mi[BPre]-sebenti[NStem]
imitamo	i[NPrePre]-mi[BPre]-tamo[NStem]
imitfombolusito	i[NPrePre]-mi[BPre]-tfombolusito[NStem]
imphumelelo	i[NPrePre]-n[BPre]-phumelelo[NStem]
imsa	imsa[Abbr]
imvelo	i[NPrePre]-n[BPre]-velo[NStem]
incenye	i[NPrePre]-ncenye[NStem]
inchubekelembili	in[BPre]-chubekelembili[NStem]
inchubo	i[NPrePre]-n[BPre]-chubo[NStem]
inductive	inductive[Foreign]
indzawo	i[NPrePre]-n[BPre]-dzawo[NStem]
indzima	i[NPrePre]-n[BPre]-dzima[NStem]
ingucuko	i[NPrePre]-n[BPre]-gucuko[NStem]
inhlangano	i[NPrePre]-n[BPre]-hlangano[NStem]
iniketa	i[SC]-niket[VRoot]-a[VerbTerm]
inkhundla	i[NPrePre]-n[BPre]-khundla[NStem]
intfutfuko	i[NPrePre]-n[BPre]-tfutfuko[NStem]
inzuzo	i[NPrePre]-n[BPre]-zuzo[NStem]
ipcm	ipcm[Abbr]
ipms	i[NPre]-pms[Abbr]
ite	ite[Abbr]
itolo	itolo[Adv]
jones	jones[ProperName]
justice	justice[Foreign]
kabanti	ka[AdvPre]-banti[NStem]
kabusha	ka[AdvPre]-bu[BPre]-sha[AdjStem]
kahle	ka[AdvPre]-hle[AdjStem]
kahlehle	kahlehle[Adv]
kahlekantsi	kahlekantsi[NStem]
kakhulu	ka[AdvPre]-khulu[AdjStem]
kancono	kancono[NStem]
kangaki	kangaki[Adv]
kanganani	kanganani[Interrog]
kanjani	ka[AdvPre]-njani[Adv]
kanyekanye	kanyekanye[Adv]
kanyenti	kanyenti[NStem]
kapa	kapa[ProperName]
kasemphahleni	kasemphahleni[NStem]
kazulu-natali	kazulu-natali[ProperName]
ke	ke[Adv]
khansela	khansela[NStem]
kholwane	kholwane[NStem]
khulumani	khulumani[NStem]
khulumende	khulumende[NStem]
khumbula	khumbul[VRoot]-a[VerbTerm]
kodvwa	kodvwa[Conj]
koja	koja[Conj]
komidi	komidi[NStem]
kona	kona[AbsPron]
konkhana	konkhana[Adv]
konkhe	ko[QuantConc]-nkhe[QuantStem]
kpi	kpi[Abbr]
kra	kra[Abbr]
ku-idp	ku[LocPre]-idp[Abbr]
kubalulekile	ku[SC]-balulek[VRoot]-ile[Perf]
kubantfu	ku[LocPre]-ba[BPre]-ntfu[NStem]
kube	kube[Conj]
kucala	kucala[Adv]
kucinisekisa	ku[BPre]-cinisek[VRoot]-is[CausExt]-a[VerbTerm]
kucinisekiswe	ku[SC]-cinisek[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
kuhlola	ku[BPre]-hlol[VRoot]-a[VerbTerm]
kuhulumende	ku[LocPre]-hulumende[NStem]
kukhona	ku[SC]-khona[Adv]
kukhuluma	ku[BPre]-khulum[VRoot]-a[VerbTerm]
kulamanye	ku[LocPre]-lama[AdjPref]-nye[AdjStem]
kulandzelela	ku[BPre]-landz[VRoot]-elel[IntensExt]-a[VerbTerm]
kuletinye	ku[LocPre]-leti[AdjPref]-nye[AdjStem]
kulingana	ku[BPre]-lingan[VRoot]-a[VerbTerm]
kulula	kulula[Adv]
kumasipala	ku[LocPre]-masipala[NStem]
kumbe	kumbe[Conj]
kumele	kumele[AuxVStem]
kumkhandlu	ku[LocPre]-mu[BPre]-khandlu[NStem]
kumtsetfosisekelo	ku[LocPre]-mu[BPre]-tsetfosisekelo[NStem]
kungaba	ku[SC]-nga[Pot]-ba[AuxVStem]
kungabi	ku[SC]-nga[NegPre]-b[VRoot]-i[VerbTerm]
kungako	kungako[Conj]
kungani	kungani[Interrog]
kunjalo	ku[SC]-njalo[Adv]
kuphela	kuphela[Adv]
kuphindze	ku[SC]-phindz[VRoot]-e[VerbTerm]
kusuka	kusuka[Adv]
kusukela	kusukela[Adv]
kute	kute[Conj]
kutfutfukiswa	ku[BPre]-tfutfuk[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
kutse	kutse[NStem]
kutsi	kutsi[Conj]
kutso	kutso[Conj]
kuwo	ku[LocPre]-wo[PronStem]
kuya	kuya[Adv]
kuyadzingeka	ku[BPre]-ya[Pres]-dzing[VRoot]-ek[NPas]-a[VerbTerm]
kuyo	ku[LocPre]-yo[PronStem]
kuze	kuze[Conj]
kwa-	kwa[PossConc]
kwabo	kwa[PossConc]-bo[PronStem]
kwahulumende	kwa[PossConc]-hulumende[NStem]
kwakhiwe	ku[SC]-akh[VRoot]-iw[PassExt]-e[VerbTerm]
kwaloko	kwaloko[Adv]
kwamanje	kwamanje[Adv]
kwatsi	kwatsi[Conj]
kwaze	kwaze[Conj]
kwe	kwe[PossConc]
kwebantfu	kwe[PossConc]-ba[BPre]-ntfu[NStem]
kwelekelelwe	kwelekelelwe[NStem]
kwelisu	kwelisu[NStem]
kwemali	kwa[PossConc]-i[NPrePre]-n[BPre]-mali[NStem]
kwemisebenti	kwa[PossConc]-i[NPrePre]-mi[BPre]-sebenti[NStem]
kwemmango	kwe[PossConc]-m[BPre]-mango[NStem]
kwemnotfo	kwa[PossConc]-u[NPrePre]-mu[BPre]-notfo[NStem]
kwenteka	ku[SC]-ent[VRoot]-ek[NeutExt]-a[VerbTerm]
kwentiwe	ku[SC]-ent[VRoot]-iw[PassExt]-e[VerbTerm]
kwenyusa	ku[BPre]-enyus[VRoot]-a[VerbTerm]
kwesikhatsi	kwa[PossConc]-si[BPre]-khatsi[NStem]
kwetetfulo	kwetetfulo[NStem]
kwetindzawo	kwa[PossConc]-tin[BPre]-dzawo[NStem]
laba	laba[Dem+Pos]
labalulekile	la[RelConc]-balulek[VRoot]-ile[Perf]
labangenele	laba[RelConc]-ngen[VRoot]-el[ApplExt]-e[VerbTerm]
labanyenti	laba[AdjPref]-nyenti[AdjStem]
labasesigabeni	labasesigabeni[NStem]
labo	la[PossConc]-bo[PronStem]
lahle	lahle[Adv]
lamabili	lama[AdjPref]-bili[AdjStem]
lamancane	lama[AdjPref]-ncane[AdjStem]
lamanyenti	lama[AdjPref]-nyenti[AdjStem]
lamasipala	la[PossConc]-masipala[NStem]
lamshejuli	lamshejuli[NStem]
langaphambilini	langaphambilini[Adv]
lanjengelilungelo	lanjengelilungelo[NStem]
lasetulu	lasetulu[NStem]
latin	latin[Foreign]
lawa	lawa[Dem+Pos]
lawo	lawo[Dem+Pos]
lebalulekile	le[RelConc]-balulek[VRoot]-ile[Perf]
leeto	leeto[ProperName]
lehlukene	la[PossConc]-ehluk[VRoot]-an[RecipExt]-ile[Perf]
lekahle	le[RelConc]-ka[AdvPre]-hle[AdjStem]
lekhona	le[RelConc]-khona[Adv]
lekungiyo	lekungiyo[NStem]
lekutsi	lekutsi[NStem]
lekwetfula	lekwetfula[NStem]
leli	leli[Dem+Pos]
lelicembu	lelicembu[NStem]
lelilandzelako	leli[RelConc]-landzela[NStem]-ko[RelSuf]
lelitsite	leli[RelConc]-tsite[RelStem]
lelo	lelo[Dem+Pos]
lemboni	lemboni[NStem]
lemibili	lemi[AdjPref]-bili[AdjStem]
leminye	lemi[AdjPref]-nye[AdjStem]
leminyenti	lemi[AdjPref]-nyenti[AdjStem]
lemitsatfu	lemi[AdjPref]-tsatfu[AdjStem]
lemmango	la[PossConc]-u[NPrePre]-mu[BPre]-mango[NStem]
lena	lena[PronStem]
lengenako	le[PossConc]-ngen[VRoot]-a[VerbTerm]-ko[RelSuf]
lengephasi	lengephasi[Adv]
leningizimu	leningizimu[ProperName]
lenkhulu	lenkhulu[Adv]
lensha	lensha[NStem]
lenta	lenta[Adv]
lenyukako	lenyukako[NStem]
lesehluko	lesi[RelConc]-hluko[NStem]
lesembili	lesembili[Adv]
lesi	lesi[Dem+Pos]
lesidze	lesi[AdjPref]-dze[AdjStem]
lesihlanu	lesi[AdjPref]-hlanu[AdjStem]
lesilandzelako	lesi[RelConc]-landzela[NStem]-ko[RelSuf]
leso	leso[Dem+Pos]
letehlukene	leti[RelConc]-ehluk[VRoot]-an[RecipExt]-ile[Perf]
letfu	letfu[NStem]
leti	leti[Dem+Pos]
letibalulekile	leti[RelConc]-balulek[VRoot]-ile[Perf]
letifaka	leti[RelConc]-fak[VRoot]-a[VerbTerm]
letikhona	leti[RelConc]-khona[Adv]
letinkhulu	letin[AdjPref]-khulu[AdjStem]
letinsha	letin[AdjPref]-sha[AdjStem]
letinyenti	leti[AdjPref]-nyenti[AdjStem]
letitsintsa	leti[RelConc]-tsints[VRoot]-a[VerbTerm]
letitsite	leti[RelConc]-tsite[RelStem]
leto	leto[Dem+Pos]
letsite	le[RelConc]-tsite[RelStem]
leyanele	leyanele[NStem]
leyo	leyo[Dem+Pos]
ligalelo	li[BPre]-galelo[NStem]
likhono	likhono[NStem]
limfomfo	limfomfo[NStem]
linake	linake[NStem]
lincedza	lincedza[NStem]
lingaba	lingaba[NStem]
lingemuva	lingemuva[NStem]
lingumgogodla	lingumgogodla[NStem]
linye	li[AdjPref]-nye[AdjStem]
liphindze	li[SC]-phindz[VRoot]-e[VerbTerm]
lirekhodi	lirekhodi[NStem]
lisebentisana	lisebentisana[NStem]
lisu	li[BPre]-su[NStem]
litawuniketwa	litawuniketwa[NStem]
litfuba	li[BPre]-tfuba[NStem]
litiko	litiko[NStem]
litiye	litiye[NStem]
lizinga	li[BPre]-zinga[NStem]
loko	loko[Dem+Pos]
lokufaka	loku[RelConc]-fak[VRoot]-a[VerbTerm]
lokufanele	loku[RelConc]-fan[VRoot]-el[ApplExt]-e[VerbTerm]
lokumele	loku[RelConc]-mel[VRoot]-e[VerbTerm]
lokungenani	lokungenani[Adv]
lokutinte	loku[RelConc]-tint[VRoot]-e[VerbTerm]
lokwentiwa	loku[RelConc]-ent[VRoot]-iw[PassExt]-a[VerbTerm]
loliwe	loliwe[NStem]
lolu	lolu[Dem+Pos]
lombala	lombala[Adv]
lomkhulu	lomu[AdjPref]-khulu[AdjStem]
lomuhle	lomu[AdjPref]-hle[AdjStem]
lona	lona[Dem+Pos]
lonakalisa	lonakalisa[NStem]
london	london[ProperName]
lowo	lowo[Dem+Pos]
loyo	loyo[Dem+Pos]
luchazwe	luchazwe[NStem]
lucobo	lucobo[Adv]
lucwaningo	lu[BPre]-cwaningo[NStem]
luhlaka	lu[BPre]-hlaka[NStem]
luhlakamsebenti	luhlakamsebenti[NStem]
luhlatiyo	lu[BPre]-hlatiyo[NStem]
luhleloluhlelo	luhleloluhlelo[NStem]
luhlolo	lu[BPre]-hlolo[NStem]
lukhuni	lukhuni[Adv]
lulwabiwotimali	lulwabiwotimali[NStem]
luncedze	luncedze[NStem]
lunga	lunga[NStem]
lungatsatsa	lungatsatsa[NStem]
luni	luni[Interrog]
luphakamisa	luphakamisa[NStem]
lutfo	lutfo[Adv]
lutjalomali	lutjalomali[NStem]
lwalo	lwalo[NStem]
lwati	lu[BPre]-ati[NStem]
lwe	lwa[PossConc]
lweyeme	lweyeme[NStem]
m	m[Foreign]
m&e	m&e[ProperName]
mabasa	mabasa[ProperName]
mabhalane	mabhalane[NStem]
madvutane	madvutane[Adv]
mahhala	mahhala[Adv]
mahlangu	mahlangu[ProperName]
malanga	malanga[NStem]
malini	malini[Interrog]
malula	malula[Adv]
mamba	mamba[NStem]
mangaki	mangaki[Interrog]
mango	mango[NStem]
manyenti	manyenti[NStem]
mars	mars[ProperName]
masincedane	masincedane[NStem]
masinyane	masinyane[Adv]
masipala	masipala[NStem]
masipapa	masipapa[NStem]
matfupha	matfupha[Adv]
mathabo	mathabo[ProperName]
matima	matima[NStem]
matsatfu	matsatfu[NStem]
mbambi	mbambi[NStem]
mbambimsuka	mbambimsuka[NStem]
mbeki	mbeki[ProperName]
mbono	mbono[NStem]
mchubisifundvo	mchubisifundvo[NStem]
mcimbi	mcimbi[NStem]
mcondvo	mcondvo[NStem]
mengameli	mengameli[ProperName]
meya	meya[NStem]
mfma	mfma[Abbr]
mhlaba	mhlaba[NStem]
mhlaka	mhlaka[Adv]
mhlawumbe	mhlawumbe[NStem]
mibili	mibili[NStem]
migomo	migomo[NStem]
mini	mini[NStem]
minotfo	minotfo[NStem]
mkhuba	mkhuba[NStem]
mofolo	mofolo[NStem]
moutse	moutse[ProperName]
mpefu	mpefu[ProperName]
msa	msa[Abbr]
msebenti	msebenti[NStem]
msp	msp[Abbr]
muhle	muhle[NStem]
mvunyane	mvunyane[ProperName]
mw	mw[Abbr]
nabo	na[AdvPre]-bo[PronStem]
nabobani	nabobani[Interrog]
nahulumende	na[AdvPre]-hulumende[NStem]
nakayokhona	nakayokhona[NStem]
nako	nako[Dem+Pos]
nakwentikile	nakwentikile[NStem]
nalelo	na[AdvPre]-lelo[Dem+Pos]
naleso	na[AdvPre]-leso[Dem+Pos]
naletinye	na[AdvPre]-leti[AdjPref]-nye[AdjStem]
naloku	naloku[Conj]
nalophatsekako	nalophatsekako[NStem]
nalowo	na[AdvPre]-lowo[Dem+Pos]
namasipala	na[AdvPre]-masipala[NStem]
nangaba	nangaba[Conj]
nangasemuva	nangasemuva[Adv]
nani	nani[NStem]
nanobe	na[AdvPre]-nobe[Conj]
nansi	nansi[Dem+Pos]
nase	nase[Conj]
nasi	nasi[Dem+Pos]
national	national[Foreign]
nato	na[AdvPre]-to[PronStem]
nawo	na[AdvPre]-wo[PronStem]
nayo	na[AdvPre]-yo[PronStem]
ndzima	ndzima[NStem]
ne-idp	ne[AdvPre]-idp[Abbr]
necbp	necbp[Abbr]
nekutsi	nekutsi[Conj]
nelikhansela	ne[AdvPre]-li[BPre]-khansela[NStem]
neliphasela	neliphasela[NStem]
neluhlelo	na[AdvPre]-lu[BPre]-hlelo[NStem]
nelwati	na[AdvPre]-lu[BPre]-ati[NStem]
nemakhono	na[AdvPre]-e[NPrePre]-ma[BPre]-khono[NStem]
nemali	na[AdvPre]-mali[NStem]
nemandla	na[AdvPre]-e[NPrePre]-ma[BPre]-ndla[NStem]
nemazinga	na[AdvPre]-ma[BPre]-zinga[NStem]
nembono	nembono[NStem]
nemimango	ne[AdvPre]-mi[BPre]-mango[NStem]
nemisebenti	na[AdvPre]-mi[BPre]-sebenti[NStem]
nemmango	na[AdvPre]-u[NPrePre]-m[BPre]-mango[NStem]
nemsebenti	na[AdvPre]-m[BPre]-sebenti[NStem]
nemtselela	na[AdvPre]-mu[BPre]-tselela[NStem]
nenchubo	ne[AdvPre]-n[BPre]-chubo[NStem]
nendlela	na[AdvPre]-n[BPre]-dlela[NStem]
nesiciniseko	na[AdvPre]-si[BPre]-ciniseko[NStem]
nesikhatsi	na[AdvPre]-si[BPre]-khatsi[NStem]
netihibe	netihibe[NStem]
netinhlangano	na[AdvPre]-tin[BPre]-hlangano[NStem]
netinhlelo	netinhlelo[NStem]
netinkhinga	netinkhinga[NStem]
netinsita	ne[AdvPre]-tin[BPre]-sita[NStem]
netisebenti	ne[AdvPre]-ti[NPre]-sebenti[NStem]
nga	nga[AdvPre]
nga-2030	nga[AdvPre]-2030[Num]
ngalabo	ngalabo[NStem]
ngale	ngale[AuxVStem]
ngalinye	nga[AdvPre]-li[AdjPref]-nye[AdjStem]
ngaloko	ngaloko[Conj]
ngalokuphumelelisako	nga[AdvPre]-loku[RelConc]-phumelel[VRoot]-is[CausExt]-a[VerbTerm]-ko[RelSuf]
ngamunye	nga[AdvPre]-mu[AdjPref]-nye[AdjStem]
ngani	ngani[Interrog]
nganobe	nganobe[Adv]
ngaphambi	ngaphambi[Adv]
ngaphandle	nga[AdvPre]-phandle[Adv]
ngaphasi	ngaphasi[Adv]
ngaso	nga[AdvPre]-so[PronStem]
ngato	ngato[NStem]
ngatsi	ngatsi[Adv]
ngayo	nga[AdvPre]-yo[PronStem]
ngculazi	ngculazi[NStem]
ngebunyenti	ngebunyenti[NStem]
ngeke	ngeke[Adv]
ngekota	ngekota[Adv]
ngekungavuni	ngekungavuni[NStem]
ngekutsi	ngekutsi[Conj]
ngekuya	ngekuya[Adv]
ngekwebulili	nge[AdvPre]-kwe[PossConc]-bu[BPre]-lili[NStem]
ngekwetfu	ngekwetfu[NStem]
ngemacembu	nga[AdvPre]-e[NPrePre]-ma[BPre]-cembu[NStem]
ngembi	ngembi[Adv]
ngembili	ngembili[Adv]
ngempelampela	ngempelampela[Adv]
ngemuva	ngemuva[Adv]
ngenca	ngenca[Conj]
ngendlela	nga[AdvPre]-i[NPrePre]-n[BPre]-dlela[NStem]
ngentasi	ngentasi[Adv]
ngesheya	ngesheya[NStem]
ngesikhatsi	nga[AdvPre]-i[NPrePre]-si[BPre]-khatsi[NStem]
ngetandla	ngetandla[NStem]
ngetawo	ngetawo[NStem]
ngetimali	nga[AdvPre]-ti[BPre]-mali[NStem]
ngetindlela	nga[AdvPre]-tin[BPre]-dlela[NStem]
ngetulu	ngetulu[Adv]
ngewekutsi	ngewekutsi[NStem]
ngiliphi	ngiliphi[NStem]
ngilo	ngilo[NStem]
ngito	ngito[NStem]
ngiyiphi	ngiyiphi[NStem]
ngiyo	ngiyo[NStem]
ngo	ngo[Abbr]
ngoba	ngoba[Conj]
ngobe	ngoba[Adv]
ngos	ngos[Abbr]
ngu	ngu[AdvPre]
nguhulumende	ngu[CopPre]-hulumende[NStem]
ngulapho	ngulapho[NStem]
ngulenembako	ngulenembako[NStem]
ngulokunembako	ngulokunembako[NStem]
ngumbono	ngumbono[NStem]
ngummango	ngu[CopPre]-u[NPrePre]-mu[BPre]-mango[NStem]
ngusihlalo	ngusihlalo[NStem]
ngutiphi	ngutiphi[NStem]
nhlanhlalembi	nhlanhlalembi[NStem]
nhlobo	nhlobo[Adv]
ni	ni[Interrog]
nigcile	nigcile[NStem]
niketa	niket[VRoot]-a[VerbTerm]
ningemantfombatana	ningemantfombatana[NStem]
nini	nini[Interrog]
nisebentisa	nisebentisa[NStem]
njalo	njalo[Adv]
njanjalo	njanjalo[Adv]
nje	nje[Adv]
njenge	njenge[Adv]
njengembutfo	njengembutfo[NStem]
njll	njll[Abbr]
nkinga	nkinga[NStem]
nkosi	nkosi[ProperName]
nkst	nkst[Abbr]
nkt	nkt[Abbr]
nobeke	nobeke[Conj]
noma	noma[Conj]
nome	nome[Conj]
ntinhlelo	ntinhlelo[NStem]
ntsambama	ntsambama[Adv]
of	of[Foreign]
onkhe	o[QuantConc]-nkhe[QuantStem]
overhead	overhead[Foreign]
overheard	overheard[Foreign]
pcm	pcm[Abbr]
pele	pele[ProperName]
pgds	pgds[Abbr]
phambili	phambili[Adv]
phambilini	phambilini[Adv]
phansi	phansi[Adv]
phatsi	phatsi[Adv]
phepha	phepha[NStem]
phethini	phethini[NStem]
pheya	pheya[NStem]
phuzu	phuzu[NStem]
plan	plan[Foreign]
planning	planning[Foreign]
pm	pm[Abbr]
pms	pms[Abbr]
powerpoint	powerpoint[ProperName]
pr	pr[Abbr]
projector	projector[Foreign]
projektha	projektha[NStem]
r&d	r&d[Abbr]
rekhoda	rekhoda[NStem]
report	report[Foreign]
review	review[Foreign]
role	role[Foreign]
sadc	sadc[Abbr]
sakhiwonchanti	si[BPre]-akhiwonchanti[NStem]
salaam	salaam[ProperName]
salga	salga[Abbr]
sandal	sandal[Foreign]
sandvulelo	sandvulelo[NStem]
se	sa[PossConc]
sebucayini	sebucayini[NStem]
selubala	selubala[Adv]
semantic	semantic[Foreign]
sembili	sembili[Adv]
semklamo	semklamo[NStem]
semnyakalikhulu	semnyakalikhulu[NStem]
semphilanjani	semphilanjani[NStem]
semtsetfweni	semtsetfweni[NStem]
senkhabeni	senkhabeni[NStem]
senteko	senteko[NStem]
setatiwa	setatiwa[NStem]
setembusave	setembusave[NStem]
setemnotfo	setemnotfo[NStem]
setizatfu	setizatfu[NStem]
sewin	sewin[Foreign]
shangatsi	shangatsi[Adv]
sherry	sherry[ProperName]
sib	sib[Abbr]
sib.	sib.[Abbr]
