!	![Punc]
"	"[Punc]
ekwakheni	e[LocPre]-u[NPrePre]-ku[BPre]-akh[VRoot]-a[VerbTerm]-ini[LocSuf]
elilodwa	eli[RelConc]-lo[QuantConc]-dwa[QuantStem]
elinye	eli[AdjPref]-nye[AdjStem]
eliphezulu	eli[RelConc]-phezulu[NStem]
emhlanganweni	e[LocPre]-u[NPrePre]-mu[BPre]-hlangano[NStem]-ini[LocSuf]
eminyakeni	e[LocPre]-i[NPrePre]-mi[BPre]-nyaka[NStem]-ini[LocSuf]
eminye	emi[AdjPref]-nye[AdjStem]
emkhandlwini	e[LocPre]-m[BPre]-khandlu[NStem]-ini[LocSuf]
emphakathini	e[LocPre]-u[NPrePre]-mu[BPre]-phakathi[NStem]-ini[LocSuf]
emsebenzini	e[LocPre]-u[NPrePre]-mu[BPre]-sebenzi[NStem]-ini[LocSuf]
emtlameni	e[LocPre]-m[BPre]-tlamo[NStem]-eni[LocSuf]
endaweni	e[LocPre]-i[NPrePre]-n[BPre]-ndawo[NStem]-ini[LocSuf]
enye	e[AdjPref]-nye[AdjStem]
enza	enz[VRoot]-a[VerbTerm]
enze	enz[VRoot]-e[VerbTerm]
ephasi	e[LocPre]-phasi[NStem]
eqakathekileko	e[RelConc]-qakathek[VRoot]-ile[Perf]-ko[RelSuf]
es	es[ProperName]
eside	esi[AdjPref]-de[AdjStem]
esikhathini	esi[RelConc]-khathi[NStem]-ini[LocSuf]
esinengi	esi[AdjPref]-nengi[AdjStem]
esinye	esi[AdjPref]-nye[AdjStem]
esisodwa	esi[RelConc]-so[QuantConc]-dwa[QuantStem]
etanzania	etanzania[ProperName]
example	example[Foreign]
exco	exco[Foreign]
ezahlukeneko	e[LocPre]-za[Pres]-hlukene[NStem]-ko[RelSuf]
ezikhona	ezi[RelConc]-khona[Adv]
ezimbili	ezin[AdjPref]-bili[AdjStem]
ezinengi	ezi[AdjPref]-nengi[AdjStem]
ezinqophileko	ezi[RelConc]-nqoph[VRoot]-ile[Perf]-ko[RelSuf]
ezintathu	ezin[AdjPref]-thathu[AdjStem]
ezinye	ezi[AdjPref]-nye[AdjStem]
eziqakathekileko	ezi[RelConc]-qakathek[VRoot]-ile[Perf]-ko[RelSuf]
ezisisekelo	ezi[RelConc]-si[BPre]-sekelo[NStem]
ezithinta	ezi[RelConc]-thint[VRoot]-a[VerbTerm]
fet	fet[Abbr]
food	food[Foreign]
for	for[Foreign]
futhi	futhi[Conj]
gade	gade[NStem]
godu	godu[Ideoph]
government	government[Foreign]
have	have[Foreign]
hlanga	hlanga[NStem]
hlangothi	hlangothi[NStem]
hlanu	hlanu[Adv]
hlathulula	hlathulula[ProperName]
hlathululani	hlathululani[ProperName]
hlathululela	hlathululela[ProperName]
hlola	hlola[ProperName]
hlukanisa	hlukanisa[ProperName]
i-cbp	i[NPrePre]-cbp[Abbr]
i-idp	i[NPrePre]-idp[Abbr]
i-pms	i[NPrePre]-pms[Abbr]
ibatho	i[NPrePre]-batho[ProperName]
ibhajedi	i[NPrePre]-bhajedi[NStem]
ibhoduluko	i[NPrePre]-bhoduluko[NStem]
icozululo	i[NPrePre]-cozululo[NStem]
idayagramu	i[NPrePre]-dayagramu[NStem]
idp	idp[Abbr]
ifaka	i[SC]-fak[VRoot]-a[VerbTerm]
iforamu	i[NPrePre]-foramu[NStem]
ifuna	i[SC]-fun[VRoot]-a[VerbTerm]
ifundo	i[NPrePre]-fundo[NStem]
igadango	i[NPrePre]-gadango[NStem]
igezi	i[NPrePre]-gezi[NStem]
ihlangano	i[NPrePre]-hlangano[NStem]
ihlangothi	i[NPrePre]-hlangothi[NStem]
iimpendulo	i[NPrePre]-im[BPre]-pendulo[NStem]
iimphakamiso	i[NPrePre]-im[BPre]-phakamiso[NStem]
iindaba	i[NPrePre]-in[BPre]-daba[NStem]
iindawo	i[NPrePre]-in[BPre]-ndawo[NStem]
iindingo	i[NPrePre]-i[NPrePre]-n[BPre]-dingo[NStem]
iindlela	i[NPrePre]-in[NPre]-dlela[NStem]
iingaba	i[NPrePre]-in[NPre]-gaba[NStem]
iingcenye	i[NPrePre]-in[NPre]-gcenye[NStem]
iinhlangano	i[NPrePre]-in[BPre]-hlangano[NStem]
iinkhulu	i[NPrePre]-in[BPre]-khulu[NStem]
iinkomba	i[NPrePre]-in[NPre]-komba[NStem]
iinqhema	i[NPrePre]-in[NPre]-qhema[NStem]
iinqunto	i[NPrePre]-in[BPre]-qunto[NStem]
ikghono	i[NPrePre]-kghono[NStem]
ikhansela	i[NPrePre]-khansela[NStem]
ikhwalithi	i[NPrePre]-khwalithi[NStem]
ikomidi	i[NPrePre]-komidi[NStem]
ikomitjhini	i[NPrePre]-komitjhini[NStem]
ikoro	i[NPrePre]-koro[NStem]
ilawulo	i[NPrePre]-lawulo[NStem]
ilunga	i[NPrePre]-li[BPre]-lunga[NStem]
ilwazeli	i[NPrePre]-lwazeli[NStem]
imali	i[NPrePre]-mali[NStem]
imibiko	i[NPrePre]-mi[BPre]-biko[NStem]
imibono	i[NPrePre]-mi[BPre]-bono[NStem]
imibuzo	i[NPrePre]-mi[BPre]-buzo[NStem]
imigomo	i[NPrePre]-mi[BPre]-gomo[NStem]
imihlangano	i[NPrePre]-mi[BPre]-hlangano[NStem]
imikhakha	i[NPrePre]-mi[BPre]-khakha[NStem]
imindeni	i[NPrePre]-mi[BPre]-ndeni[NStem]
iminqopho	i[NPrePre]-mi[BPre]-nqopho[NStem]
iminyaka	i[NPrePre]-mi[BPre]-nyaka[NStem]
iminyango	i[NPrePre]-mi[BPre]-nyango[NStem]
imiphakathi	i[NPrePre]-mi[BPre]-phakathi[NStem]
imiphumela	i[NPrePre]-mi[BPre]-phumela[NStem]
imiraro	i[NPrePre]-mi[BPre]-raro[NStem]
imirholo	i[NPrePre]-mi[BPre]-rholo[NStem]
imisebenzi	i[NPrePre]-mi[BPre]-sebenzi[NStem]
imithangalasisekelo	i[NPrePre]-mi[BPre]-thangalasisekelo[NStem]
imithetho	i[NPrePre]-mi[BPre]-thetho[NStem]
imithombo	i[NPrePre]-mi[BPre]-thombo[NStem]
imitlamo	i[NPrePre]-mi[BPre]-tlamo[NStem]
imizamo	i[NPrePre]-mi[BPre]-zamo[NStem]
imizuzu	i[NPrePre]-mi[BPre]-zuzu[NStem]
in	in[Foreign]
inani	i[NPrePre]-nani[NStem]
include	include[Foreign]
indawo	i[NPrePre]-n[BPre]-ndawo[NStem]
indicators	indicators[Foreign]
indima	i[NPrePre]-ndima[NStem]
indlelakambiso	i[NPrePre]-n[BPre]-dlelakambiso[NStem]
inengi	i[AdjPref]-nengi[AdjStem]
ingabe	ingabe[Conj]
ingcenye	i[NPrePre]-n[BPre]-gcenye[NStem]
international	international[Foreign]
into	i[NPrePre]-n[BPre]-tho[NStem]
inturhu	i[NPrePre]-n[BPre]-turhu[NStem]
ipahla	i[NPrePre]-phahla[NStem]
iphrojekthi	i[NPrePre]-phrojekthi[NStem]
ipi	ipi[Abbr]
ipumelelo	i[NPrePre]-phumelelo[NStem]
iqhinga	i[NPrePre]-li[BPre]-qhinga[NStem]
iragelo	i[NPrePre]-ragelo[NStem]
irherho	i[NPrePre]-rherho[NStem]
isabelo	i[NPrePre]-si[BPre]-abelo[NStem]
isewula	i[NPrePre]-sewula[NStem]
isib	isib[Abbr]
isib.	isib.[Abbr]
isibonelo	i[NPrePre]-si[BPre]-bonelo[NStem]
isibopho	i[NPrePre]-si[BPre]-bopho[NStem]
isigaba	i[NPrePre]-si[BPre]-gaba[NStem]
isikhathi	i[NPrePre]-si[BPre]-khathi[NStem]
isilinganiso	i[NPrePre]-si[BPre]-linganiso[NStem]
isiqhema	i[NPrePre]-si[BPre]-qhema[NStem]
isiqiniseko	i[NPrePre]-si[BPre]-qiniseko[NStem]
isiqunto	i[NPrePre]-si[BPre]-qunto[NStem]
isisekelo	i[NPrePre]-si[BPre]-sekelo[NStem]
isisomali	i[NPrePre]-sisomali[NStem]
isivumelwano	i[NPrePre]-si[BPre]-vumelwano[NStem]
itjhebiswano	i[NPrePre]-tjhebiswano[NStem]
itjhejontangi	i[NPrePre]-tjhejontangi[NStem]
ituthuko	i[NPrePre]-tuthuko[NStem]
iwadi	i[NPrePre]-wadi[NStem]
izakhamuzi	i[NPrePre]-zi[BPre]-akhamuzi[NStem]
izakhiwo	i[NPrePre]-zi[BPre]-akhiwo[NStem]
izinto	i[NPrePre]-zi[BPre]-nto[NStem]
jones	jones[ProperName]
kade	kade[Conj]
kambiso	kambiso[NStem]
kanti	kanti[Conj]
kapa	kapa[ProperName]
karhulumende	karhulumende[NStem]
katelela	katelela[ProperName]
ke	ke[Conj]
kghonakalisa	kghonakalisa[ProperName]
khamba	khamba[ProperName]
khambela	khambela[ProperName]
khambelanisa	khambelanisa[NStem]
khe	khe[NStem]
khetha	khetha[ProperName]
khibe	khibe[Adv]
khomba	khomba[ProperName]
khombani	khombani[NStem]
khombela	khombela[ProperName]
khonapho	khonapho[Adv]
khonokho	khonokho[Adv]
khudlwana	khulu[Adv]-ana[DimSuf]
khulu	khulu[Adv]
khumbula	khumbula[ProperName]
khunye	khunye[NStem]
khuthaza	khuthaza[ProperName]
khuyini	khuyini[Interrog]
kilelo	kilelo[NStem]
kileziimvumelwano	kileziimvumelwano[NStem]
kizo	ki[LocPre]-zo[PronStem]
kobudlelwano	kobudlelwano[NStem]
kobujamo	ko[PossConc]-bu[BPre]-jamo[NStem]
kobuzwe	kobuzwe[NStem]
kodwana	kodwana[Conj]
koke	ko[QuantConc]-ke[QuantStem]
kokwenziwa	ko[PossConc]-kwa[SC]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
komebhe	komebhe[Adv]
komnyaka	kwa[PossConc]-u[NPrePre]-mu[BPre]-nyaka[NStem]
komphakathi	kwa[PossConc]-u[NPrePre]-mu[BPre]-phakathi[NStem]
komsebenzi	kwa[PossConc]-u[NPrePre]-mu[BPre]-sebenzi[NStem]
komtlamo	kwa[PossConc]-u[NPrePre]-mu[BPre]-tlamo[NStem]
kpi	kpi[Abbr]
kuba	ku[BPre]-b[VRoot]-a[VerbTerm]
kubayini	ku[BPre]-bayini[NStem]
kuhle	ku[AdjPref]-hle[AdjStem]
kuhlekuhle	kuhlekuhle[NStem]
kukobana	kukobana[Conj]
kumaphi	kumaphi[Interrog]
kungani	kungani[Interrog]
kuphi	kuphi[Interrog]
kuthatha	ku[BPre]-thath[VRoot]-a[VerbTerm]
kutjho	ku[SC]-tjh[VRoot]-o[VerbTerm]
kutlhoga	ku[BPre]-tlhoga[NStem]
kuze	kuze[Conj]
kwabantu	kwa[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
kwabo	kwa[PossConc]-bo[PronStem]
kwalokho	kwa[PossConc]-lokho[Dem+Pos]
kwamambala	kwamambala[Adv]
kwanjesi	kwanjesi[Adv]
kwawo	kwa[PossConc]-wo[PronStem]
kwazulu-natal	kwazulu-natal[ProperName]
kweemali	kwe[PossConc]-emali[NStem]
kweenqunto	kwe[PossConc]-e[LocPre]-n[BPre]-qunto[NStem]
kweensetjenziswa	kwe[PossConc]-e[LocPre]-n[BPre]-setjenziswa[NStem]
kwemisebenzi	kwa[PossConc]-i[NPrePre]-mi[BPre]-sebenzi[NStem]
kwenzekani	kwenzakani[Interrog]
kwenziwa	ku[BPre]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
kwephrojekthi	kwe[PossConc]-phrojekthi[NStem]
kwesikhathi	kwa[PossConc]-i[NPrePre]-si[BPre]-khathi[NStem]
kwezakhamuzi	kwe[PossConc]-zi[BPre]-akhamuzi[NStem]
laba	laba[Dem+Pos]
labantu	la[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
labo	labo[Dem+Pos]
labour	labour[Foreign]
lalokho	la[SC]-lokho[Dem+Pos]
landelani	landelani[NStem]
laphaya	laphaya[Dem+Pos]
lawo	lawo[Dem+Pos]
le	le[Dem+Pos]
leeto	leeto[ProperName]
legezi	legezi[NStem]
lekgotla	lekgotla[ProperName]
lekhilowadi	lekhilowadi[NStem]
leli	leli[Dem+Pos]
lelo	lelo[Dem+Pos]
lenarha	lenarha[NStem]
lesi	lesi[Dem+Pos]
leso	leso[Dem+Pos]
level	level[Foreign]
leyo	leyo[Dem+Pos]
leza	leza[Dem+Pos]
lezi	lezi[Dem+Pos]
lezo	lezo[Dem+Pos]
libe	libe[ProperName]
libona	libona[NStem]
libuya	libuya[NStem]
lidinga	lidinga[NStem]
lidose	lidose[NStem]
lifuze	lifuze[NStem]
lijanyiselelwe	lijanyiselelwe[NStem]
likhansela	likhansela[NStem]
likhula	likhula[NStem]
lilawulwa	lilawulwa[NStem]
liletha	liletha[NStem]
lineengcenye	lineengcenye[NStem]
linga	linga[NStem]
lingabi	lingabi[NStem]
lingakghona	lingakghona[NStem]
lingasiza	lingasiza[NStem]
lisaragela	lisaragela[NStem]
lisazokubakhona	lisazokubakhona[NStem]
lisizo	li[BPre]-sizo[NStem]
litjhiye	litjhiye[NStem]
litjho	litjho[NStem]
litshwenyo	litshwenyo[NStem]
livikelomalungelo	livikelomalungelo[ProperName]
liyitjheja	liyitjheja[NStem]
lizaliswa	lizaliswa[NStem]
lo	lo[Dem+Pos]
lobu	lobu[Dem+Pos]
loke	lo[QuantConc]-ke[QuantStem]
lokha	lokha[Conj]
lokho	lokho[Dem+Pos]
lokhu	lokhu[Dem+Pos]
lombuso	la[PossConc]-u[NPrePre]-mu[BPre]-buso[NStem]
lomphakathi	la[PossConc]-u[NPrePre]-mu[BPre]-phakathi[NStem]
lomsebenzi	la[PossConc]-u[NPrePre]-mu[BPre]-sebenzi[NStem]
london	london[ProperName]
lowo	lowo[Dem+Pos]
loyo	loyo[Dem+Pos]
lukhuni	lukhuni[Adv]
lula	lula[NStem]
lungiselela	lungiselela[ProperName]
majadu	majadu[NStem]
makgotla	makgotla[ProperName]
malungana	ma[BPre]-lunga[NStem]-ana[DimSuf]
management	management[Foreign]
manqopha	manqopha[Adv]
mars	mars[ProperName]
masinyana	masinyana[Adv]
material	material[Foreign]
mayelana	mayelana[NStem]
mbeki	mbeki[ProperName]
mcabango	mcabango[NStem]
measurement	measurement[Foreign]
mehlweni	mehlweni[NStem]
mfma	mfma[Abbr]
mgcinisihlalo	mgcinisihlalo[NStem]
mhlahlandlela	mhlahlandlela[ProperName]
mhlahlo	mhlahlo[NStem]
mhlambe	mhlambe[ProperName]
mhlapha	mhlapha[NStem]
mhlawumbe	mhlawumbe[Adv]
mhlobo	mhlobo[ProperName]
mina	mina[AbsPron]
mkhandlu	mu[BPre]-khandlu[NStem]
mkhulu	mkhulu[NStem]
mncani	mncani[NStem]
mnengi	mnengi[NStem]
mofolo	mofolo[ProperName]
mpefu	mpefu[ProperName]
mphakathi	mu[BPre]-phakathi[NStem]
mrholi	mrholi[NStem]
msa	msa[Abbr]
msinya	msinya[Adv]
msinyana	msinyana[Adv]
mthethokambiso	mthethokambiso[ProperName]
mthetholawulo	mthetholawulo[NStem]
must	must[Foreign]
mvunyane	mvunyane[ProperName]
mzabalazo	mzabalazo[NStem]
mzukwana	mzukwana[Adv]
na	na[Interrog]
nabantu	na[AdvPre]-a[NPrePre]-ba[BPre]-ntu[NStem]
nabanye	na[AdvPre]-aba[AdjPref]-nye[AdjStem]
nabo	nabo[Dem+Pos]
nalokho	na[AdvPre]-lokho[Dem+Pos]
namakghono	na[AdvPre]-ma[BPre]-kghono[NStem]
namandla	na[AdvPre]-mandla[RelStem]
namathuba	na[AdvPre]-a[NPrePre]-ma[BPre]-thuba[NStem]
namazinga	na[AdvPre]-a[NPrePre]-ma[BPre]-zinga[NStem]
namhlanjesi	na[AdvPre]-mhlanjesi[NStem]
namkha	namkha[Conj]
namtjhana	namtjhana[Conj]
nangabe	nangabe[Conj]
nani	nani[NStem]
nanyana	nanyana[Conj]
national	national[Foreign]
nawo	na[AdvPre]-wo[PronStem]
nazo	na[AdvPre]-zo[PronStem]
ndawo	ndawo[NStem]
ndawonye	ndawonye[Adv]
ndlela	ndlela[NStem]
ne-idp	ne[AdvPre]-idp[Abbr]
neendaba	ne[AdvPre]-e[LocPre]-n[BPre]-daba[NStem]
neendingo	ne[AdvPre]-e[LocPre]-n[BPre]-dingo[NStem]
neendlela	ne[AdvPre]-e[LocPre]-n[BPre]-dlela[NStem]
neenhlangano	ne[AdvPre]-e[LocPre]-n[BPre]-hlangano[NStem]
neenqhema	ne[AdvPre]-e[LocPre]-n[BPre]-qhema[NStem]
neensetjenziswa	ne[AdvPre]-e[LocPre]-n[BPre]-setjenziswa[NStem]
nehlalakuhle	na[AdvPre]-i[NPre]-hlalakuhle[NStem]
nekghono	na[AdvPre]-i[NPre]-kghono[NStem]
nemali	na[AdvPre]-i[NPrePre]-n[BPre]-mali[NStem]
neminye	na[AdvPre]-emi[AdjPref]-nye[AdjStem]
nemiphakathi	na[AdvPre]-i[NPrePre]-mi[BPre]-phakathi[NStem]
nemiphumela	na[AdvPre]-i[NPrePre]-mi[BPre]-phumela[NStem]
nemisebenzi	na[AdvPre]-i[NPrePre]-mi[BPre]-sebenzi[NStem]
nenye	na[AdvPre]-e[AdjPref]-nye[AdjStem]
nesibopho	na[AdvPre]-i[NPrePre]-si[BPre]-bopho[NStem]
nesikhathi	na[AdvPre]-i[NPrePre]-si[BPre]-khathi[NStem]
nesiqhema	na[AdvPre]-i[NPrePre]-si[BPre]-qhema[NStem]
netjhayiswano	netjhayiswano[NStem]
nezinye	na[AdvPre]-ezi[AdjPref]-nye[AdjStem]
ngakho	nga[AdvPre]-kho[PronStem]
ngalokho	nga[AdvPre]-lokho[Dem+Pos]
ngamunye	nga[AdvPre]-mu[EnumConc]-nye[EnumStem]
ngaphakathi	nga[AdvPre]-phakathi[Adv]
ngaphambi	nga[AdvPre]-phambi[Adv]
ngaphambili	nga[AdvPre]-phambili[Adv]
ngaphambilini	nga[AdvPre]-phambilini[Adv]
ngaphandle	nga[AdvPre]-phandle[Adv]
ngaphezu	ngaphezu[Adv]
ngaphsi	ngaphsi[Adv]
ngasinye	nga[AdvPre]-si[BPre]-nye[AdjStem]
ngayinye	nga[AdvPre]-yi[CopPre]-nye[AdjStem]
ngayiphi	ngayiphi[Interrog]
ngayo	nga[AdvPre]-yo[PronStem]
ngaziphi	ngaziphi[Interrog]
ngazo	nga[AdvPre]-zo[PronStem]
ngconywana	ngcono[NStem]-ana[DimSuf]
ngebanga	nga[AdvPre]-i[NPrePre]-banga[NStem]
ngeemali	nge[AdvPre]-e[LocPre]-mali[NStem]
ngeendaba	nge[AdvPre]-e[LocPre]-n[BPre]-daba[NStem]
ngeendlela	nge[AdvPre]-e[LocPre]-n[BPre]-dlela[NStem]
ngeenqhema	nge[AdvPre]-e[LocPre]-n[NPrePre]-qhema[NStem]
ngemisebenzi	nga[AdvPre]-i[NPrePre]-mi[BPre]-sebenzi[NStem]
ngemva	nga[AdvPre]-mva[Adv]
ngenzansi	ngenzansi[AdvPre]
ngesikhathi	nga[AdvPre]-i[NPrePre]-si[BPre]-khathi[NStem]
ngibo	ngibo[NStem]
ngikuphi	ngikuphi[Interrog]
ngiliphi	ngiliphi[Interrog]
ngilokho	ngilokho[NStem]
ngimaphi	ngimaphi[Interrog]
ngimi	ngimi[NStem]
ngimiphi	ngimiphi[Interrog]
ngimuphi	ngimuphi[Interrog]
ngiwo	ngiwo[NStem]
ngiyiphi	ngiyiphi[Interrog]
ngiziphi	ngiziphi[Interrog]
ngokuba	ngokuba[Conj]
ngokupheleleko	nga[AdvPre]-ku[BPre]-phelele[NStem]-ko[RelSuf]
ngokuya	nga[AdvPre]-u[NPrePre]-ku[BPre]-y[VRoot]-a[VerbTerm]
ngombana	ngombana[Conj]
ngqhinga	ngqhinga[NStem]
ngubani	ngu[CopPre]-bani[NStem]
nikela	nik[VRoot]-el[ApplExt]-a[VerbTerm]
nini	nini[Adv]
njalo	njalo[Adv]
njalonjalo	njalonjalo[Adv]
njani	njani[Adv]
nje	nje[Adv]
njenge	njenge[AdvPre]
njengoba	njengoba[Conj]
njengobana	njengobana[Conj]
njengombana	njenga[AdvPre]-omu[AdjPref]-bana[AdjStem]
njll	njll[Abbr]
nkosi	nkosi[ProperName]
no	no[Foreign]
nobubanzi	nobubanzi[Adv]
nofana	nofana[Conj]
nokho	nokho[Adv]
nokobana	nokobana[Conj]
nokusebenza	na[AdvPre]-u[NPrePre]-ku[BPre]-sebenz[VRoot]-a[VerbTerm]
nokuthi	na[AdvPre]-u[NPrePre]-ku[BPre]-th[VRoot]-i[VerbTerm]
nokuthuthukisa	na[AdvPre]-u[NPrePre]-ku[BPre]-thuthuk[VRoot]-is[CausExt]-a[VerbTerm]
nombiko	nombiko[NStem]
nombuso	na[AdvPre]-u[NPrePre]-mu[BPre]-buso[NStem]
nomleyo	nomleyo[NStem]
nomphakathi	na[AdvPre]-u[NPrePre]-mu[BPre]-phakathi[NStem]
nomsebenzi	na[AdvPre]-u[NPrePre]-mu[BPre]-sebenzi[NStem]
nomthala	nomthala[NStem]
nomthelela	na[AdvPre]-u[NPrePre]-mu[BPre]-thelela[NStem]
nomunye	na[AdvPre]-omu[AdjPref]-nye[AdjStem]
nqophileko	nqophileko[NStem]
nyanga	nyanga[NStem]
nzima	nzima[Adv]
of	of[Foreign]
ofisi	ofisi[NStem]
ohlangahlangeneko	ohlangahlangeneko[NStem]
okufaka	oku[RelConc]-fak[VRoot]-a[VerbTerm]
okufanele	oku[RelConc]-fan[VRoot]-el[ApplExt]-e[VerbTerm]
okumele	oku[RelConc]-mel[VRoot]-e[VerbTerm]
omkhulu	omu[AdjPref]-khulu[AdjStem]
omunye	omu[AdjPref]-nye[AdjStem]
onjani	onjani[Interrog]
or	or[Foreign]
other	other[Foreign]
paper	paper[Foreign]
participate	participate[Foreign]
pele	pele[ProperName]
people	people[Foreign]
performance	performance[Foreign]
phakathi	phakathi[Adv]
phambi	phambi[Adv]
phambili	phambili[Adv]
phambilini	phambilini[Adv]
phendula	phendula[ProperName]
