!	![Punc]
"	"[Punc]
ekuhlaleni	e[LocPre]-u[NPrePre]-ku[BPre]-hlal[VRoot]-a[VerbTerm]-ini[LocSuf]
ekuqinisekiseni	e[LocPre]-u[NPrePre]-ku[BPre]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]-ini[LocSuf]
ekwakheni	e[LocPre]-u[NPrePre]-ku[BPre]-akh[VRoot]-a[VerbTerm]-ini[LocSuf]
ekwenzeni	e[LocPre]-u[NPrePre]-ku[BPre]-enz[VRoot]-a[VerbTerm]-ini[LocSuf]
elandelayo	e[RelConc]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
eli	eli[Dem+Pos]
elide	eli[AdjPref]-de[AdjStem]
elinye	eli[AdjPref]-nye[AdjStem]
elithile	eli[RelConc]-th[VRoot]-ile[Perf]
elo	elo[Dem+Pos]
eluntwini	e[LocPre]-u[NPrePre]-lu[BPre]-ntu[NStem]-ini[LocSuf]
emazijongwe	e[RelConc]-ma[ImpPre]-zi[OC]-jong[VRoot]-w[PassExt]-e[VerbTerm]
emihlanu	emi[AdjPref]-hlanu[AdjStem]
eminye	emi[AdjPref]-nye[AdjStem]
emithathu	emi[AdjPref]-thathu[AdjStem]
emva	e[LocPre]-u[NPrePre]-m[BPre]-va[NStem]
endaweni	e[LocPre]-i[NPrePre]-n[BPre]-dawo[NStem]-ini[LocSuf]
enkulu	en[AdjPref]-khulu[AdjStem]
enye	e[AdjPref]-nye[AdjStem]
enze	enz[VRoot]-e[VerbTerm]
ephambili	e[RelConc]-phambili[Adv]
epreli	epreli[ProperName]
es	es[ProperName]
esebenzayo	e[RelConc]-sebenz[VRoot]-a[VerbTerm]-yo[RelSuf]
esekelwe	e[RelConc]-sek[VRoot]-el[ApplExt]-w[PassExt]-e[VerbTerm]
esi	esi[Dem+Pos]
esifundo	a[PossConc]-i[NPrePre]-si[BPre]-fundo[NStem]
esisekwe	esi[RelConc]-sek[VRoot]-w[PassExt]-e[VerbTerm]
eso	eso[Dem+Pos]
esweni	e[LocPre]-so[NStem]-ini[LocSuf]
ethile	e[RelConc]-th[VRoot]-ile[Perf]
ewadini	e[LocPre]-wadi[NStem]-ini[LocSuf]
exco	exco[ProperName]
eyodwa	e[RelConc]-yo[QuantConc]-dwa[QuantStem]
ezahluka-hlukeneyo	ezi[RelConc]-ahluk[VRoot]-a[VerbTerm]-hluk[VRoot]-en[RecipExt]-e[VerbTerm]-yo[RelSuf]
ezahlukeneyo	ezi[RelConc]-ahlukan[VRoot]-e[VerbTerm]-yo[RelSuf]
ezentlalo	e[RelConc]-za[PossConc]-i[NPrePre]-n[BPre]-tlalo[NStem]
ezi	ezi[Dem+Pos]
ezifana	ezi[RelConc]-fan[VRoot]-a[VerbTerm]
ezikhoyo	ezi[RelConc]-kho[Adv]-yo[RelSuf]
ezimbini	ezin[AdjPref]-bini[AdjStem]
ezingundoqo	ezi[RelConc]-ng[CopPre]-u[NPrePre]-ndoqo[NStem]
ezininzi	ezi[AdjPref]-ninzi[AdjStem]
ezinkulu	ezin[AdjPref]-khulu[AdjStem]
ezintsha	ezin[AdjPref]-tsha[AdjStem]
ezinye	ezi[AdjPref]-nye[AdjStem]
eziphambili	ezi[RelConc]-phambili[Adv]
ezisisiseko	ezi[RelConc]-s[CopPre]-i[NPrePre]-si[BPre]-seko[NStem]
ezithile	ezi[RelConc]-th[VRoot]-ile[Perf]
eziyimfuneko	ezi[RelConc]-y[CopPre]-i[NPrePre]-m[BPre]-funeko[NStem]
ezizodwa	ezi[RelConc]-zo[QuantConc]-dwa[QuantStem]
ezo	ezo[Dem+Pos]
ezoqoqosho	ezoqoqosho[ProperName]
facilitators	facilitators[Foreign]
fama	fama[NStem]
fet	fet[Abbr]
finance	finance[Foreign]
flats	flats[ProperName]
fomu	fomu[NStem]
for	for[Foreign]
foram	foram[NStem]
forum	forum[Foreign]
framework	framework[Foreign]
futhi	futhi[Conj]
ga	ga[Ideoph]
gadalala	gadalala[Adv]
gama	gama[NStem]
gazette	gazette[Foreign]
gca	gca[Ideoph]
gingci	gingci[Ideoph]
government	government[Foreign]
gqolo	gqolo[Ideoph]
guide	guide[Foreign]
gwenxa	gwenxa[Adv]
handbook	handbook[Foreign]
hayi	hayi[Interjec]
hiv	hiv[Abbr]
hlahlo	hlahlo[NStem]
hleze	hleze[Adv]
hlobo	hlobo[NStem]
i-cbp	i[NPrePre]-cbp[Abbr]
i-idp	i[NPrePre]-idp[Abbr]
i-pms	i[NPrePre]-pms[Abbr]
ibakala	i[NPrePre]-bakala[NStem]
ibatho	i[NPrePre]-batho[ProperName]
ibhunga	i[NPrePre]-bhunga[NStem]
icandelo	i[NPrePre]-candelo[NStem]
ict	ict[Abbr]
idp	idp[Abbr]
ifuna	i[SC]-fun[VRoot]-a[VerbTerm]
igalelo	i[NPrePre]-galelo[NStem]
iikomiti	i[NPrePre]-i[BPre]-komiti[NStem]
iimeko	i[NPrePre]-i[BPre]-meko[NStem]
iimfuno	i[NPrePre]-in[BPre]-funo[NStem]
iimpendulo	i[NPrePre]-im[BPre]-pendulo[NStem]
iindawo	i[NPrePre]-in[BPre]-dawo[NStem]
iindima	i[NPrePre]-in[BPre]-dima[NStem]
iindleko	i[NPrePre]-in[BPre]-dleko[NStem]
iindlela	i[NPrePre]-in[BPre]-dlela[NStem]
iingcebiso	i[NPrePre]-in[BPre]-gcebiso[NStem]
iinguquko	i[NPrePre]-in[BPre]-guquko[NStem]
iingxaki	i[NPrePre]-in[BPre]-gxaki[NStem]
iingxelo	i[NPrePre]-in[BPre]-gxelo[NStem]
iinjongo	i[NPrePre]-in[BPre]-jongo[NStem]
iinkcukacha	i[NPrePre]-in[BPre]-kcukacha[NStem]
iinkokeli	i[NPrePre]-in[BPre]-kokeli[NStem]
iinkonzo	i[NPrePre]-in[BPre]-konzo[NStem]
iinkqubo	i[NPrePre]-in[BPre]-kqubo[NStem]
iintlanganiso	i[NPrePre]-in[BPre]-tlanganiso[NStem]
iinzuzo	i[NPrePre]-in[BPre]-zuzo[NStem]
iiprojekthi	i[NPrePre]-i[BPre]-projekthi[NStem]
iiyantlukwano	i[NPrePre]-i[BPre]-yantlukwano[NStem]
ikhomishoni	i[NPrePre]-khomishoni[NStem]
ikomiti	i[NPrePre]-komiti[NStem]
iliso	i[NPrePre]-li[BPre]-so[NStem]
ilizwe	i[NPrePre]-li[BPre]-zwe[NStem]
ilungu	i[NPrePre]-lungu[NStem]
imali	i[NPrePre]-mali[NStem]
imeko	i[NPrePre]-meko[NStem]
imfundo	i[NPrePre]-m[BPre]-fundo[NStem]
imiba	i[NPrePre]-mi[BPre]-ba[NStem]
imibandela	i[NPrePre]-mi[BPre]-bandela[NStem]
imibutho	i[NPrePre]-mi[BPre]-butho[NStem]
imibuzo	i[NPrePre]-mi[BPre]-buzo[NStem]
imidla	i[NPrePre]-mi[BPre]-dla[NStem]
imigangatho	i[NPrePre]-mi[BPre]-gangatho[NStem]
imigaqo-nkqubo	i[NPrePre]-mi[BPre]-gaqo[NStem]-n[BPre]-kqubo[NStem]
imimandla	i[NPrePre]-mi[BPre]-mandla[NStem]
imingeni	i[NPrePre]-mi[BPre]-ngeni[NStem]
imisebenzi	i[NPrePre]-mi[BPre]-sebenzi[NStem]
imithetho	i[NPrePre]-mi[BPre]-thetho[NStem]
imithetho-siseko	i[NPrePre]-mi[BPre]-thetho[NStem]-si[BPre]-seko[NStem]
imithombo	i[NPrePre]-mi[BPre]-thombo[NStem]
imizuzu	i[NPrePre]-mi[BPre]-zuzu[NStem]
inani	i[NPrePre]-nani[NStem]
indawo	i[NPrePre]-n[BPre]-dawo[NStem]
indima	i[NPrePre]-n[BPre]-dima[NStem]
indleko	i[NPrePre]-n[BPre]-dleko[NStem]
indlela	i[NPrePre]-n[BPre]-dlela[NStem]
ingakumbi	i[SC]-ngakumbi[Adv]
ingeniso	i[NPrePre]-ngeniso[NStem]
ingqalelo	i[NPrePre]-n[BPre]-gqalelo[NStem]
ingqiqo	i[NPrePre]-n[BPre]-gqiqo[NStem]
ingxaki	i[NPrePre]-n[BPre]-gxaki[NStem]
ingxelo	i[NPrePre]-n[BPre]-gxelo[NStem]
ingxoxo	i[NPrePre]-n[BPre]-gxoxo[NStem]
injongo	i[NPrePre]-n[BPre]-jongo[NStem]
inkcazo	i[NPrePre]-n[BPre]-kcazo[NStem]
inkonzo	i[NPrePre]-n[BPre]-konzo[NStem]
inkqubela-phambili	i[NPrePre]-n[BPre]-kqubela[NStem]-phambili[Adv]
inkqubo	i[NPrePre]-n[BPre]-kqubo[NStem]
inkxaso	i[NPrePre]-n[BPre]-kxaso[NStem]
integrated	integrated[Foreign]
international	international[Foreign]
intlanganiso	i[NPrePre]-n[BPre]-tlanganiso[NStem]
into	i[NPrePre]-n[BPre]-to[NStem]
inxaxheba	i[NPrePre]-n[BPre]-xaxheba[NStem]
inyathelo	i[NPrePre]-nyathelo[NStem]
inzuzo	i[NPrePre]-n[BPre]-zuzo[NStem]
iprojekthi	i[NPrePre]-projekthi[NStem]
iqela	i[NPrePre]-qela[NStem]
iqonga	i[NPrePre]-qonga[NStem]
isahluko	i[NPrePre]-si[BPre]-ahluko[NStem]
isazobe	i[NPrePre]-sa[BPre]-zobe[NStem]
ishishini	i[NPrePre]-shishini[NStem]
isicwangciso	i[NPrePre]-si[BPre]-cwangciso[NStem]
isigaba	i[NPrePre]-si[BPre]-gaba[NStem]
isigqibo	i[NPrePre]-si[BPre]-gqibo[NStem]
isikhokelo	i[NPrePre]-si[BPre]-khokelo[NStem]
isikhundla	i[NPrePre]-si[BPre]-khundla[NStem]
isiphumo	i[NPrePre]-si[BPre]-phumo[NStem]
isiseko	i[NPrePre]-si[BPre]-seko[NStem]
isixokelelwano	i[NPrePre]-si[BPre]-xokelelwano[NStem]
ithuba	i[NPrePre]-thuba[NStem]
iwadi	i[NPrePre]-wadi[NStem]
ixesha	i[NPrePre]-xesha[NStem]
iza	i[SC]-za[AuxVStem]
izakhono	i[NPrePre]-zi[BPre]-khono[NStem]
izalathisi	i[NPrePre]-zi[BPre]-alathisi[NStem]
izibonelelo	i[NPrePre]-zi[BPre]-bonelelo[NStem]
izicwangciso	i[NPrePre]-zi[BPre]-cwangciso[NStem]
izidingo	i[NPrePre]-zi[BPre]-dingo[NStem]
izigqibo	i[NPrePre]-zi[BPre]-gqibo[NStem]
izikhokelo	i[NPrePre]-zi[BPre]-khokelo[NStem]
izimvo	i[NPrePre]-zim[BPre]-vo[NStem]
izinto	i[NPrePre]-zin[BPre]-to[NStem]
iziphumo	i[NPrePre]-zi[BPre]-phumo[NStem]
izixhobo	i[NPrePre]-zi[BPre]-xhobo[NStem]
izixokelelwano	i[NPrePre]-zi[BPre]-xokelelwano[NStem]
izizathu	i[NPrePre]-zi[BPre]-zathu[NStem]
jikelele	jikelele[Adv]
jones	jones[ProperName]
jonga	jong[VRoot]-a[VerbTerm]
julayi	julayi[NStem]
june	june[Foreign]
juni	juni[ProperName]
kakhulu	ka[AdvPre]-khulu[AdjStem]
kakuhle	kaku[AdvPre]-hle[AdjStem]
kaloku	kaloku[Adv]
kambe	kambe[Conj]
kananjalo	kananjalo[Adv]
kanjalo	kanjalo[Adv]
kanti	kanti[Conj]
kanye	kanye[Adv]
karhulumente	ka[PossKA]-u[NPrePre]-rhulumente[NStem]
kazwelonke	ka[PossKA]-u[NPrePre]-zwelonke[NStem]
ke	ke[Conj]
key	key[Foreign]
kho	kho[Adv]
khona	khona[Adv]
kodwa	kodwa[Conj]
kokuba	kwa[PossConc]-ukuba[Conj]
koloni	koloni[ProperName]
koluntu	kwa[PossConc]-u[NPrePre]-lu[BPre]-ntu[NStem]
komiti	komiti[NStem]
komsebenzi	kwa[PossConc]-u[NPrePre]-m[BPre]-sebenzi[NStem]
kontrakthi	kontrakthi[NStem]
koqoqosho	kwa[PossConc]-u[NPrePre]-qoqosho[NStem]
kpi	kpi[Abbr]
kpis	kpis[Abbr]
kras	kras[Abbr]
kratya	kratya[Ideoph]
kuba	kuba[Conj]
kubantu	ku[LocPre]-a[NPrePre]-ba[BPre]-ntu[NStem]
kubekho	ku[CopPre]-be[CopPre]-kho[Adv]
kubo	ku[LocPre]-bo[PronStem]
kufanele	ku[SC]-fanel[VRoot]-e[VerbTerm]
kufuna	ku[SC]-fun[VRoot]-a[VerbTerm]
kufuphi	kufuphi[Adv]
kukamasipala	ku[PossConc]-ka[PossKA]-masipala[NStem]
kukho	ku[CopPre]-kho[Adv]
kukuba	k[CopPre]-ukuba[Conj]
kulawulo	ku[LocPre]-u[NPrePre]-lawulo[NStem]
kule	ku[LocPre]-le[Dem+Pos]
kuluntu	ku[LocPre]-u[NPrePre]-lu[BPre]-ntu[NStem]
kumashishini	ku[LocPre]-a[NPrePre]-ma[BPre]-shishini[NStem]
kumasipala	ku[LocPre]-u[NPrePre]-masipala[NStem]
kumaziko	ku[LocPre]-a[NPrePre]-ma[BPre]-ziko[NStem]
kumazwe	ku[LocPre]-a[NPrePre]-ma[BPre]-zwe[NStem]
kumele	ku[SC]-mele[AuxVStem]
kummandla	ku[LocPre]-u[NPrePre]-m[BPre]-mandla[NStem]
kumsebenzi	ku[LocPre]-u[NPrePre]-m[BPre]-sebenzi[NStem]
kunceda	ku[SC]-nced[VRoot]-a[VerbTerm]
kunjalo	ku[CopPre]-njalo[Adv]
kuphela	kuphela[Adv]
kuphuhliso	ku[LocPre]-u[NPrePre]-phuhliso[NStem]
kuqhutywa	ku[SC]-qhub[VRoot]-w[PassExt]-a[VerbTerm]
kuqoqosho	ku[LocPre]-u[NPrePre]-qoqosho[NStem]
kurhulumente	ku[LocPre]-u[NPrePre]-rhulumente[NStem]
kusetyenziswa	ku[SC]-sebenz[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
kuthatha	ku[SC]-thath[VRoot]-a[VerbTerm]
kutheni	kutheni[Interrog]
kuwo	ku[LocPre]-wo[PronStem]
kuyimfuneko	ku[CopPre]-y[CopPre]-i[NPrePre]-m[BPre]-funeko[NStem]
kuyo	ku[LocPre]-yo[PronStem]
kuze	kuze[Conj]
kuzo	ku[LocPre]-zo[PronStem]
kwa	kwa[Adv]
kwabantu	kwa[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
kwakhona	kwa[AdvPre]-khona[Adv]
kwakunye	kwa[AdvPre]-kunye[Conj]
kwamakhosikazi	kwa[PossConc]-a[NPrePre]-ma[BPre]-khosikazi[NStem]
kwaye	kwaye[Conj]
kwaze	kwaze[Conj]
kwazo	kwa[PossConc]-zo[PronStem]
kwazulu-natal	kwazulu-natal[ProperName]
kweenkonzo	kwa[PossConc]-i[NPrePre]-in[BPre]-konzo[NStem]
kwenziwe	ku[SC]-enz[VRoot]-iw[PassExt]-e[VerbTerm]
kweprojekthi	kwa[PossConc]-i[NPrePre]-projekthi[NStem]
kwesi	ku[LocPre]-esi[Dem+Pos]
kwesicwangciso	kwa[PossConc]-i[NPrePre]-si[BPre]-cwangciso[NStem]
kwexesha	kwa[PossConc]-i[NPrePre]-xesha[NStem]
kwezi	ku[LocPre]-ezi[Dem+Pos]
kwezigqibo	kwa[PossConc]-i[NPrePre]-zi[BPre]-gqibo[NStem]
kweziphumo	kwa[PossConc]-i[NPrePre]-zi[BPre]-phumo[NStem]
kwi-idp	ku[LocPre]-i[NPrePre]-idp[Abbr]
kwibhunga	ku[LocPre]-i[NPrePre]-bhunga[NStem]
kwicandelo	ku[LocPre]-i[NPrePre]-candelo[NStem]
kwifliptshathi	ku[LocPre]-i[NPrePre]-fliptshathi[NStem]
kwiikomiti	ku[LocPre]-i[NPrePre]-i[BPre]-komiti[NStem]
kwiinkonzo	ku[LocPre]-i[NPrePre]-in[BPre]-konzo[NStem]
kwiinkqubo	ku[LocPre]-i[NPrePre]-in[BPre]-kqubo[NStem]
kwiiprojekthi	ku[LocPre]-i[NPrePre]-i[BPre]-projekthi[NStem]
kwikomiti	ku[LocPre]-i[NPrePre]-komiti[NStem]
kwimiba	ku[LocPre]-i[NPrePre]-mi[BPre]-ba[NStem]
kwimimandla	ku[LocPre]-i[NPrePre]-mi[BPre]-mandla[NStem]
kwiminyaka	ku[LocPre]-i[NPrePre]-mi[BPre]-nyaka[NStem]
kwimisebenzi	ku[LocPre]-i[NPrePre]-mi[BPre]-sebenzi[NStem]
kwindawo	ku[LocPre]-i[NPrePre]-n[BPre]-dawo[NStem]
kwindlela	ku[LocPre]-i[NPrePre]-n[BPre]-dlela[NStem]
kwingingqi	ku[LocPre]-i[NPrePre]-n[BPre]-gingqi[NStem]
kwinkonzo	ku[LocPre]-i[NPrePre]-n[BPre]-khonzo[NStem]
kwinkqubo	ku[LocPre]-i[NPrePre]-n[BPre]-kqubo[NStem]
kwinqanaba	ku[LocPre]-i[NPrePre]-nqanaba[NStem]
kwintlanganiso	ku[LocPre]-i[NPrePre]-n[BPre]-tlanganiso[NStem]
kwiphepha	ku[LocPre]-i[NPrePre]-phepha[NStem]
kwiprojekthi	ku[LocPre]-i[NPrePre]-projekthi[NStem]
kwiqela	ku[LocPre]-i[NPrePre]-qela[NStem]
kwiwadi	ku[LocPre]-i[NPrePre]-wadi[NStem]
kwixesha	ku[LocPre]-i[NPrePre]-xesha[NStem]
kwizinto	ku[LocPre]-i[NPrePre]-zin[BPre]-to[NStem]
la	la[Dem+Pos]
labahlali	la[PossConc]-a[NPrePre]-ba[BPre]-hlali[NStem]
labantu	la[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
labemi	la[PossConc]-a[NPrePre]-be[BPre]-mi[NStem]
labo	la[PossConc]-bo[PronStem]
labucala	la[PossConc]-bucala[Adv]
lakho	la[PossConc]-kho[PossPron]
lali	lali[NStem]
land	land[Foreign]
le	le[Dem+Pos]
league	league[Foreign]
lebhunga	la[PossConc]-i[NPrePre]-bhunga[NStem]
leengxoxo	la[PossConc]-i[NPrePre]-in[BPre]-gxoxo[NStem]
leeto	leeto[ProperName]
lekomiti	la[PossConc]-i[NPrePre]-komiti[NStem]
lewadi	la[PossConc]-i[NPrePre]-wadi[NStem]
leyo	leyo[Dem+Pos]
libhunga	l[CopPre]-i[NPrePre]-bhunga[NStem]
likamasipala	li[PossConc]-ka[PossKA]-masipala[NStem]
lize	li[SC]-ze[AuxVStem]
lo	lo[Dem+Pos]
local	local[Foreign]
logama	logama[Adv]
lohlahlo	lwa[PossConc]-u[NPrePre]-hlahlo[NStem]
lonke	lo[QuantConc]-nke[QuantStem]
loo	loo[Dem+Pos]
lowo	lowo[Dem+Pos]
lukamasipala	lu[PossConc]-ka[PossKA]-masipala[NStem]
lukarhulumente	lu[PossConc]-ka[PossKA]-rhulumente[NStem]
lula	lula[Adv]
lungelelwano	lungelelwano[NStem]
lungelo	lungelo[NStem]
lungiselelo	lungiselelo[NStem]
lwabahlali	lwa[PossConc]-ba[BPre]-hlali[NStem]
lwabiwo-mali	lu[BPre]-abiwo[NStem]-mali[NStem]
lwabo	lwa[PossConc]-bo[PronStem]
lweenkonzo	lwa[PossConc]-i[NPrePre]-in[BPre]-konzo[NStem]
lweeprojekthi	lwa[PossConc]-i[NPrePre]-i[BPre]-projekthi[NStem]
lwehlabathi	lwa[PossConc]-i[NPrePre]-hlabathi[NStem]
lwempilo	lwa[PossConc]-i[NPrePre]-m[BPre]-philo[NStem]
lwengingqi	lwa[PossConc]-i[NPrePre]-n[BPre]-gingqi[NStem]
lwengxelo	lwa[PossConc]-i[NPrePre]-n[BPre]-gxelo[NStem]
lweprojekthi	lwa[PossConc]-i[NPrePre]-projekthi[NStem]
lwesicwangciso	lwa[PossConc]-i[NPrePre]-si[BPre]-cwangciso[NStem]
lwesini	lwa[PossConc]-i[NPrePre]-si[BPre]-ni[NStem]
m	m[Abbr]
macala	macala[Adv]
mahlangu	mahlangu[ProperName]
mahluko	mahluko[NStem]
malunga	malunga[Adv]
malungu	malungu[NStem]
management	management[Foreign]
mandulo	mandulo[Adv]
mars	mars[ProperName]
masipala	masipala[NStem]
matrix	matrix[Foreign]
mbalwa	mbalwa[RelStem]
mdgs	mdgs[Abbr]
measurable	measurable[Foreign]
meko	meko[NStem]
mfiliba	mfiliba[RelStem]
mfma	mfma[Abbr]
mhlawumbi	mhlawumbi[Adv]
minicipal	minicipal[Foreign]
modeli	modeli[NStem]
modyuli	modyuli[NStem]
mofolo	mofolo[ProperName]
mosaic	mosaic[Foreign]
mpefu	mpefu[ProperName]
msa	msa[Abbr]
msebenzi	m[BPre]-sebenzi[NStem]
msinyane	msinyane[Adv]
msp	msp[Abbr]
multi-year	multi-year[Foreign]
municipal	municipal[Foreign]
municipality	municipality[Foreign]
musa	musa[AuxVStem]
mva	mva[Adv]
mvunyane	mvunyane[NStem]
mw	mw[Abbr]
mzantsi	mzantsi[ProperName]
na	na[Interrog]
nabantu	na[AdvPre]-a[NPrePre]-ba[BPre]-ntu[NStem]
nabo	na[AdvPre]-bo[PronStem]
nalapho	na[AdvPre]-l[CopPre]-apho[Dem+Pos]
namadoda	na[AdvPre]-a[NPrePre]-ma[BPre]-doda[NStem]
namanye	na[AdvPre]-ama[AdjPref]-nye[AdjStem]
namhlanje	namhlanje[Adv]
nangona	nangona[Conj]
nantsi	nantsi[Cop]
national	national[Foreign]
nawo	na[AdvPre]-wo[PronStem]
naxa	naxa[Conj]
naye	na[AdvPre]-ye[PronStem]
nayiphi	na[AdvPre]-yi[EnumConc]-phi[EnumStem]
nayo	na[AdvPre]-yo[PronStem]
nazo	na[AdvPre]-zo[PronStem]
ndawo	n[BPre]-dawo[NStem]
ndim	ndim[Cop]
ndlela	n[BPre]-dlela[NStem]
ne-idp	na[AdvPre]-i[NPrePre]-idp[Abbr]
nebhunga	na[AdvPre]-i[NPrePre]-bhunga[NStem]
neekomiti	na[AdvPre]-i[NPrePre]-i[BPre]-komiti[NStem]
neemfuno	na[AdvPre]-i[NPrePre]-in[BPre]-funo[NStem]
