!	![Punc]
"	"[Punc]
ekuseni	ekuseni[Adv]
ekuthathweni	e[LocPre]-ku[BPre]-thath[VRoot]-w[PassExt]-a[VerbTerm]-ini[LocSuf]
electoral	electoral[Foreign]
elilodwa	eli[RelConc]-lo[QuantConc]-dwa[QuantStem]
eliphezulu	eli[RelConc]-phezulu[Adv]
elisemqoka	eli[RelConc]-s[PreLoc-s]-e[LocPre]-m[BPre]-qoka[NStem]
emakhaya	e[LocPre]-ma[BPre]-khaya[NStem]
emaqenjini	e[LocPre]-ma[BPre]-qembu[NStem]-ini[LocSuf]
embalwa	e[RelConc]-mbalwa[RelStem]
emihlanu	emi[AdjPref]-hlanu[AdjStem]
eminingi	emi[AdjPref]-ningi[AdjStem]
eminyakeni	e[LocPre]-i[NPrePre]-mi[BPre]-nyaka[NStem]-ini[LocSuf]
emiphakathini	e[LocPre]-i[NPrePre]-mi[BPre]-phakathi[NStem]-ini[LocSuf]
emisebenzini	e[LocPre]-i[NPrePre]-mi[BPre]-sebenzi[NStem]-ini[LocSuf]
emkhakheni	e[LocPre]-u[NPrePre]-mu[BPre]-khakha[NStem]-ini[LocSuf]
emkhandlwini	e[LocPre]-m[BPre]-khandlu[NStem]-ini[LocSuf]
emphakathini	e[LocPre]-mu[BPre]-phakathi[NStem]-ini[LocSuf]
emsebenzini	e[LocPre]-mu[BPre]-sebenzi[NStem]-ini[LocSuf]
emva	e[LocPre]-mu[BPre]-va[Adv]
endaweni	e[LocPre]-n[BPre]-dawo[NStem]-ini[LocSuf]
endleleni	e[LocPre]-i[NPrePre]-n[BPre]-dlela[NStem]-ini[LocSuf]
enkulu	en[AdjPref]-khulu[AdjStem]
es	es[ProperName]
esemqoka	e[RelConc]-s[PreLoc-s]-e[LocPre]-m[BPre]-qoka[NStem]
eside	esi[AdjPref]-de[AdjStem]
esigceme	esi[RelConc]-gceme[NStem]
esiyiminyaka	esi[RelConc]-y[CopPre]-i[NPrePre]-mi[BPre]-nyaka[NStem]
ethile	e[RelConc]-thile[RelStem]
exco	exco[NStem]
eyodwa	e[RelConc]-yo[QuantConc]-dwa[QuantStem]
ezahlukene	ezi[RelConc]-ahluk[VRoot]-an[RecipExt]-il[Perf]-e[VerbTerm]
ezibalulekile	ezi[RelConc]-balulek[VRoot]-il[Perf]-e[VerbTerm]
ezidingekayo	ezi[RelConc]-ding[VRoot]-ek[NeutExt]-a[VerbTerm]-yo[RelSuf]
ezifana	ezi[RelConc]-fan[VRoot]-a[VerbTerm]
ezifanele	ezi[RelConc]-fanel[VRoot]-e[VerbTerm]
ezimayelana	ezi[RelConc]-mayela[NStem]-ana[DimSuf]
ezimbili	ezin[AdjPref]-bili[AdjStem]
ezingeni	e[LocPre]-zinga[NStem]-ini[LocSuf]
ezinkulu	ezin[AdjPref]-khulu[AdjStem]
ezintathu	ezin[AdjPref]-thathu[AdjStem]
ezintsha	ezin[AdjPref]-sha[AdjStem]
ezisebenza	ezi[RelConc]-sebenz[VRoot]-a[VerbTerm]
ezisemqoka	ezi[RelConc]-s[PreLoc-s]-e[LocPre]-m[BPre]-qoka[NStem]
ezisetshenziswa	ezi[RelConc]-sebenz[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
ezithile	ezi[RelConc]-thile[RelStem]
facilitators	facilitators[Foreign]
fomu	fomu[NStem]
for	for[Foreign]
foramu	foramu[Foreign]
forum	forum[Foreign]
futhi	futhi[Conj]
futhi-ke	futhi-ke[Adv]
goals	goals[Foreign]
government	government[Foreign]
guide	guide[Foreign]
gwema	gwema[NStem]
hambo	hambo[NStem]
hhayi	hhayi[Interjec]
hhovisi	hhovisi[NStem]
hlaka	hlaka[NStem]
hlangothi	hlangothi[NStem]
hlelo	hlelo[NStem]
hlobo	hlobo[NStem]
hlolo	hlolo[NStem]
hlu	hlu[NStem]
i-luckytown	i-luckytown[ProperName]
idinga	i[SC]-ding[VRoot]-a[VerbTerm]
idp	idp[Abbr]
ikakhulukazi	i[NPrePre]-ka[AdvPre]-khulukazi[NStem]
ikhono	ikhono[NStem]
imibiko	i[NPrePre]-mi[BPre]-biko[NStem]
imibono	i[NPrePre]-mi[BPre]-bono[NStem]
imibuzo	i[NPrePre]-mi[BPre]-buzo[NStem]
imigomo	i[NPrePre]-mi[BPre]-gomo[NStem]
imihlahlandlela	i[NPrePre]-mi[BPre]-hlahlandlela[NStem]
imihlangano	i[NPrePre]-mi[BPre]-hlangano[NStem]
imikhakha	i[NPrePre]-mi[BPre]-khakha[NStem]
imininingwane	i[NPrePre]-mi[BPre]-niningwane[NStem]
imiphumela	i[NPrePre]-mi[BPre]-phumela[NStem]
imithetho	i[NPrePre]-mi[BPre]-thetho[NStem]
imizamo	i[NPrePre]-mi[BPre]-zamo[NStem]
imizuzu	i[NPrePre]-mi[BPre]-zuzu[NStem]
impela	impela[Adv]
improvement	improvement[Foreign]
india	india[ProperName]
ingabe	ingabe[Conj]
inhlangano	i[NPrePre]-n[BPre]-hlangano[NStem]
inhloso	i[NPrePre]-n[BPre]-hloso[NStem]
inkampani	inkampani[NStem]
inqubekelaphambili	i[NPrePre]-n[BPre]-qubekelaphambili[NStem]
inqubomgomo	i[NPrePre]-n[BPre]-qubomgomo[NStem]
inzuzo	i[NPrePre]-nzuzo[NStem]
iphuzu	iphuzu[NStem]
isabelomali	isabelomali[NStem]
isib	isib[Abbr]
isib.	isib.[Abbr]
isibe	isibe[Cop]
isibonelo	i[NPrePre]-si[BPre]-bonelo[NStem]
isidingo	i[NPrePre]-si[BPre]-dingo[NStem]
isigaba	i[NPrePre]-si[BPre]-gaba[NStem]
isigceme	i[NPrePre]-si[BPre]-gceme[NStem]
isikhathi	i[NPrePre]-si[BPre]-khathi[NStem]
isimo	i[NPrePre]-si[BPre]-mo[NStem]
isinqumo	i[NPrePre]-si[BPre]-n[BPre]-qumo[NStem]
isisekelo	i[NPrePre]-si[BPre]-sekelo[NStem]
izakhamuzi	i[NPrePre]-zi[BPre]-akhamuzi[NStem]
izidingo	i[NPrePre]-zi[BPre]-dingo[NStem]
izikhathi	i[NPrePre]-zi[BPre]-khathi[NStem]
izikhungo	i[NPrePre]-zi[BPre]-khungo[NStem]
izimali	i[NPrePre]-zi[BPre]-mali[NStem]
izimo	i[NPrePre]-zi[BPre]-mo[NStem]
izindawo	i[NPrePre]-zin[BPre]-dawo[NStem]
izindleko	i[NPrePre]-zin[BPre]-dleko[NStem]
izindlela	i[NPrePre]-zin[BPre]-dlela[NStem]
izindlu	i[NPrePre]-zi[BPre]-ndlu[NStem]
izinguquko	i[NPrePre]-zin[BPre]-guquko[NStem]
izingxoxo	i[NPrePre]-zi[BPre]-ngxoxo[NStem]
izinhlangano	i[NPrePre]-zin[BPre]-hlangano[NStem]
izinhlelo	i[NPrePre]-zin[BPre]-hlelo[NStem]
izinhlobo	i[NPrePre]-zin[BPre]-hlobo[NStem]
izinjongo	i[NPrePre]-zin[BPre]-jongo[NStem]
izinkinga	i[NPrePre]-zin[BPre]-kinga[NStem]
izinqubomgomo	i[NPrePre]-zin[BPre]-qubomgomo[NStem]
izinqumo	i[NPrePre]-zin[BPre]-qumo[NStem]
izinselelo	i[NPrePre]-zin[BPre]-selelo[NStem]
izinsizakalo	i[NPrePre]-zin[BPre]-sizakalo[NStem]
izinsizakusebenza	i[NPrePre]-zin[BPre]-sizakusebenza[NStem]
iziphakamiso	i[NPrePre]-zi[BPre]-phakamiso[NStem]
iziphathimandla	i[NPrePre]-zi[BPre]-phathimandla[NStem]
izisetshenziswa	i[NPrePre]-zi[BPre]-setshenziswa[NStem]
jekelele	jekelele[Ideoph]
jones	jones[ProperName]
juba	juba[ProperName]
julayi	julayi[ProperName]
kakhulu	ka[AdvPre]-khulu[AdjStem]
kancane	ka[AdvPre]-ncane[AdjStem]
kangakanani	kangakanani[Adv]
kangcono	ka[AdvPre]-ngcono[Adv]
kanjani	ka[AdvPre]-njani[Interrog]
kanti	kanti[Conj]
kanye	kanye[Conj]
kapa	kapa[ProperName]
khasi	khasi[NStem]
khuluma	khuluma[AuxVStem]
kodwa	kodwa[Conj]
kodwa-ke	kodwa-ke[Adv]
koloni	koloni[ProperName]
komidi	komidi[NStem]
kona	kona[NStem]
konke	ko[QuantConc]-nke[QuantStem]
kpi	kpi[Abbr]
kpis	kpis[Abbr]
kuba	kuba[Adv]
kubandakanya	ku[SC]-bandakany[VRoot]-a[VerbTerm]
kube	kube[Adv]
kubo	ku[LocPre]-bo[PronStem]
kude	kude[Adv]
kudinga	ku[SC]-ding[VRoot]-a[VerbTerm]
kukho	ku[LocPre]-kho[PronStem]
kukhona	ku[SC]-khona[Adv]
kulabo	ku[LocPre]-labo[Dem+Pos]
kule	ku[LocPre]-le[Dem+Pos]
kulesi	ku[LocPre]-lesi[Dem+Pos]
kulo	ku[LocPre]-lo[Dem+Pos]
kulolu	ku[LocPre]-lolu[Dem+Pos]
kungabe	kungabe[Conj]
kuqala	ku[SC]-qal[VRoot]-a[VerbTerm]
kusemqoka	ku[BPre]-s[PreLoc-s]-e[LocPre]-m[BPre]-qoka[NStem]
kusukela	ku[SC]-suk[VRoot]-el[ApplExt]-a[VerbTerm]
kuya	ku[SC]-y[VRoot]-a[VerbTerm]
kuyo	ku[LocPre]-yo[PronStem]
kuze	kuze[Conj]
kuzo	ku[LocPre]-zo[PronStem]
kwabantu	kwa[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
kwabasebenzi	kwa[PossConc]-a[NPrePre]-ba[BPre]-sebenzi[NStem]
kwabo	kwa[PossConc]-bo[PronStem]
kwalo	kwa[PossConc]-lo[PronStem]
kwalokho	kwa[PossConc]-lokho[Dem+Pos]
kwamanzi	kwa[PossConc]-a[NPrePre]-ma[BPre]-nzi[NStem]
kwamathuba	kwa[PossConc]-a[NPrePre]-ma[BPre]-thuba[NStem]
kwamazwe	kwa[PossConc]-a[NPrePre]-ma[BPre]-zwe[NStem]
kwayo	kwa[PossConc]-yo[PronStem]
kwazo	kwa[PossConc]-zo[PronStem]
kwazulu-natal	kwazulu-natal[ProperName]
kwenza	ku[SC]-enz[VRoot]-a[VerbTerm]
kwenziwa	ku[SC]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
kwephrojekthi	kwa[PossConc]-i[NPrePre]-phrojekthi[NStem]
kweprojekthi	kwa[PossConc]-i[NPrePre]-projekthi[NStem]
kwesimo	kwa[PossConc]-i[NPrePre]-si[BPre]-mo[NStem]
kwezimali	kwa[PossConc]-i[NPrePre]-zi[BPre]-mali[NStem]
kwezindawo	kwa[PossConc]-i[NPrePre]-zin[BPre]-dawo[NStem]
kwezindlela	kwa[PossConc]-i[NPrePre]-zin[BPre]-dlela[NStem]
kwezinhlelo	kwa[PossConc]-i[NPrePre]-zin[BPre]-hlelo[NStem]
kwi-idp	ku[LocPre]-i[NPrePre]-idp[Abbr]
la	la[Dem+Pos]
laba	laba[Dem+Pos]
labo	labo[Dem+Pos]
lalawa	lalawa[NStem]
land	land[Foreign]
lawa	lawa[Dem+Pos]
le	le[Dem+Pos]
leeto	leeto[ProperName]
lekgotla	lekgotla[NStem]
leli	leli[Dem+Pos]
lelo	lelo[Dem+Pos]
lena	lena[Dem+Pos]
lesi	lesi[Dem+Pos]
leso	leso[Dem+Pos]
leyo	leyo[Dem+Pos]
lezi	lezi[Dem+Pos]
lezo	lezo[Dem+Pos]
lithi	lithi[Adv]
lo	lo[Dem+Pos]
lokho	lokho[Dem+Pos]
lokhu	lokhu[Dem+Pos]
loko	loko[Dem+Pos]
loku	loku[Dem+Pos]
lolo	lolo[Dem+Pos]
lolu	lolu[Dem+Pos]
lomsebenzi	lwa[PossConc]-u[NPrePre]-mu[BPre]-sebenzi[NStem]
lona	lona[AbsPron]
london	london[ProperName]
lowo	lowo[Dem+Pos]
loyo	loyo[Dem+Pos]
lula	lula[Adv]
lungelo	lungelo[NStem]
lungu	lungu[NStem]
lutho	lutho[Adv]
lwazi	lu[BPre]-azi[NStem]
lwe-	lwa[PossConc]
lwe-cbp	lwa[PossConc]-i[NPrePre]-cbp[Abbr]
lwe-idp	lwa[PossConc]-i[NPrePre]-idp[Abbr]
m	m[Abbr]
mahlangu	mahlangu[ProperName]
makgotla	makgotla[NStem]
makomijana	makomijana[NStem]
malini	malini[NStem]
management	management[Foreign]
manjalo	manjalo[Adv]
manje	manje[Adv]
maphakathi	maphakathi[Adv]
maqondana	maqondana[Conj]
mars	mars[ProperName]
masipala	masipala[NStem]
masu	masu[NStem]
mayelana	mayelana[Adv]
mbono	mbono[NStem]
mdgs	mdgs[Abbr]
measurable	measurable[Foreign]
mfanekiso	mfanekiso[NStem]
mfma	mfma[Abbr]
mgodi	mgodi[NStem]
mhla	mhla[Conj]
mhlangano	m[BPre]-hlangano[NStem]
mhlawumbe	mhlawumbe[Conj]
millennium	millennium[NStem]
mkhuba	mkhuba[NStem]
mnotho	mnotho[NStem]
mnyango	mnyango[NStem]
mofolo	mofolo[ProperName]
mojuli	mojuli[NStem]
mpefu	mpefu[ProperName]
mphumela	mphumela[NStem]
mqondosizinda	mqondosizinda[NStem]
msa	msa[Abbr]
msebenzi	mu[BPre]-sebenzi[NStem]
muni	muni[Interrog]
municipal	municipal[Foreign]
muva	muva[NStem]
mvunyane	mvunyane[ProperName]
mzekeliso	mzekeliso[NStem]
nabantu	na[AdvPre]-a[NPrePre]-ba[BPre]-ntu[NStem]
nabasebenzi	na[AdvPre]-a[NPrePre]-ba[BPre]-sebenzi[NStem]
nabelane	nabelane[NStem]
nabo	na[AdvPre]-bo[PronStem]
nakho	na[AdvPre]-kho[PronStem]
nakuba	nakuba[Conj]
nalelo	na[AdvPre]-lelo[Dem+Pos]
naleso	na[AdvPre]-leso[Dem+Pos]
nalokho	na[AdvPre]-lokho[Dem+Pos]
namakhono	na[AdvPre]-a[NPrePre]-ma[BPre]-khono[NStem]
namandla	na[AdvPre]-a[NPrePre]-ma[BPre]-ndla[NStem]
namanye	na[AdvPre]-ama[AdjPref]-nye[AdjStem]
namaqembu	na[AdvPre]-a[NPrePre]-ma[BPre]-qembu[NStem]
namathuba	na[AdvPre]-a[NPrePre]-ma[BPre]-thuba[NStem]
namazinga	na[AdvPre]-a[NPrePre]-ma[BPre]-zinga[NStem]
namhlanje	namhlanje[Adv]
national	national[Foreign]
nawo	na[AdvPre]-wo[PronStem]
naye	na[AdvPre]-ye[PronStem]
nazo	na[AdvPre]-zo[PronStem]
ndawo	n[BPre]-dawo[NStem]
ndlela	n[BPre]-dlela[NStem]
nemisebenzi	na[AdvPre]-i[NPrePre]-mi[BPre]-sebenzi[NStem]
nengxabano	na[AdvPre]-i[NPrePre]-ngxabano[NStem]
nesimo	na[AdvPre]-i[NPrePre]-si[BPre]-mo[NStem]
nezinhlelo	na[NPre]-i[NPrePre]-zin[BPre]-hlelo[NStem]
nezinqubo	na[AdvPre]-i[NPrePre]-zin[BPre]-qubo[NStem]
ngabe	ngabe[Conj]
ngakho	ngakho[Adv]
ngakho-ke	ngakho-ke[Adv]
ngale	nga[AdvPre]-le[Dem+Pos]
ngaphambi	nga[AdvPre]-phambi[Adv]
ngaphandle	nga[AdvPre]-phandle[Adv]
ngaphansi	nga[AdvPre]-phansi[Adv]
ngasinye	nga[AdvPre]-si[BPre]-nye[EnumStem]
ngaso	nga[AdvPre]-so[PronStem]
ngawo	nga[AdvPre]-wo[PronStem]
ngayinye	nga[AdvPre]-yi[CopPre]-nye[EnumStem]
ngayo	nga[AdvPre]-yo[PronStem]
ngazo	nga[AdvPre]-zo[PronStem]
ngcono	ngcono[Adv]
ngculaza	ngculaza[NStem]
nge-	nga[AdvPre]
ngeke	nge[CopPre]-ke[Adv]
ngenxa	ngenxa[Conj]
ngezindaba	nga[AdvPre]-i[NPrePre]-zin[BPre]-daba[NStem]
ngoba	ngoba[Conj]
ngokobulili	nga[AdvPre]-ko[PossConc]-bu[BPre]-lili[NStem]
ngokucophelela	nga[AdvPre]-u[NPrePre]-ku[BPre]-cophelel[VRoot]-a[VerbTerm]
ngokugcwele	nga[AdvPre]-u[NPrePre]-ku[BPre]-gcwele[NStem]
ngomgogodla	ngomgogodla[Adv]
ngqo	ngqo[Ideoph]
ngubani	ngubani[Interrog]
ngxenye	ngxenye[NStem]
nikeza	nikez[VRoot]-a[VerbTerm]
ningi	ningi[NStem]
nini	nini[Interrog]
njalo	njalo[Adv]
njalonjalo	njalonjalo[Adv]
njani	njani[Adv]
nje	nje[Adv]
njengoba	njengoba[Conj]
njll	njll[Abbr]
njll.	njll.[Abbr]
nkontileka	nkontileka[NStem]
nkosi	nkosi[ProperName]
no	no[Foreign]
nokho	nokho[Conj]
nokusebenzisa	na[AdvPre]-u[NPrePre]-ku[BPre]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
nokusetshenziswa	na[AdvPre]-u[NPrePre]-ku[BPre]-sebenz[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
nokuthi	na[AdvPre]-ku[BPre]-th[VRoot]-i[VerbTerm]
noma	noma[Conj]
noma-ke	noma-ke[Adv]
nomasipala	na[AdvPre]-u[NPrePre]-masipala[NStem]
nsukuzonke	nsukuzonke[Adv]
ntambama	ntambama[Adv]
nto	nto[NStem]
ntuthuko	ntuthuko[NStem]
nyaka	nyaka[NStem]
ochwepheshe	ochwepheshe[NStem]
of	of[Foreign]
okufanele	oku[RelConc]-fanel[VRoot]-e[VerbTerm]
okumele	oku[RelConc]-m[VRoot]-el[ApplExt]-e[VerbTerm]
okusemqoka	oku[RelConc]-s[PreLoc-s]-e[LocPre]-m[BPre]-qoka[NStem]
okuthile	oku[RelConc]-th[VRoot]-ile[Perf]
oluzinze	olu[RelConc]-zinz[VRoot]-e[VerbTerm]
omkhandlu	umkhandlu[NStem]
omlando	umlando[NStem]
omunye	omu[AdjPref]-nye[AdjStem]
organisation	organisation[Foreign]
owodwa	o[RelConc]-wo[QuantConc]-dwa[QuantStem]
partnership	partnership[Foreign]
pcm	pcm[Abbr]
pele	pele[ProperName]
performance	performance[Foreign]
phakathi	phakathi[Adv]
phambi	phambi[Adv]
phambili	phambili[Adv]
phansi	phansi[Adv]
phesheya	phesheya[NStem]
phezu	phezu[Adv]
phezulu	phezulu[Adv]
phiko	phiko[NStem]
phrojektha	phrojektha[NStem]
phrojekthi	phrojekthi[NStem]
phuzu	phuzu[NStem]
plan	plan[Foreign]
planning	planning[Foreign]
pms	pms[Abbr]
poa	poa[Abbr]
policing	policing[Foreign]
project	project[Foreign]
qembu	qembu[NStem]
qobo	qobo[NStem]
qoka	qoka[NStem]
responsive	responsive[Foreign]
sabelomali	sabelomali[NStem]
salaam	salaam[ProperName]
salga	salga[Abbr]
sebenzisa	sebenz[VRoot]-is[CausExt]-a[VerbTerm]
service	service[Foreign]
sezulu	sa[PossConc]-i[NPrePre]-li[BPre]-zulu[NStem]
sigaba	si[BPre]-gaba[NStem]
sikamasipala	si[PossConc]-ka[PossKA]-masipala[NStem]
sitatimende	sitatimende[NStem]
smith	smith[ProperName]
specific	specific[Foreign]
state	state[ProperName]
su	su[NStem]
summit	summit[Foreign]
system	system[Foreign]
task	task[Foreign]
team	team[Foreign]
technology	technology[Foreign]
the	the[Foreign]
thimba	thimba[NStem]
together	together[Foreign]
transition	transition[Foreign]
transport	transport[Foreign]
ubani	ubani[Interrog]
ubhubhane	ubhubhane[NStem]
ubuholi	u[NPrePre]-bu[BPre]-holi[NStem]
ubulili	u[NPrePre]-bu[BPre]-lili[NStem]
ubuphofu	u[NPrePre]-bu[BPre]-phofu[NStem]
ucwaningo	ucwaningo[ProperName]
udaba	udaba[NStem]
udlulisele	udlulisele[NStem]
udodi	udodi[NStem]
uhlolovo	uhlolovo[NStem]
uhwebo	uhwebo[NStem]
ukuba	ukuba[Conj]
ukubamba	u[NPrePre]-ku[BPre]-bamb[VRoot]-a[VerbTerm]
ukubandakanywa	u[NPrePre]-ku[BPre]-bandakany[VRoot]-w[PassExt]-a[VerbTerm]
ukufunda	u[NPrePre]-ku[BPre]-fund[VRoot]-a[VerbTerm]
ukuhlola	u[NPrePre]-ku[BPre]-hlol[VRoot]-a[VerbTerm]
ukukhulisa	u[NPrePre]-ku[BPre]-khul[VRoot]-is[CausExt]-a[VerbTerm]
ukukhuluma	u[NPrePre]-ku[BPre]-khulum[VRoot]-a[VerbTerm]
ukukhuthaza	u[NPrePre]-ku[BPre]-khuthaz[VRoot]-a[VerbTerm]
ukuletha	u[NPrePre]-ku[BPre]-leth[VRoot]-a[VerbTerm]
ukulwa	u[NPrePre]-ku[BPre]-lw[VRoot]-a[VerbTerm]
ukunikeza	u[NPrePre]-ku[BPre]-nikez[VRoot]-a[VerbTerm]
ukuphathwa	u[NPrePre]-ku[BPre]-phath[VRoot]-w[PassExt]-a[VerbTerm]
ukuphendula	u[NPrePre]-ku[BPre]-phendul[VRoot]-a[VerbTerm]
ukusebenzisa	u[NPrePre]-ku[BPre]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
ukusebenzisana	u[NPrePre]-ku[BPre]-sebenz[VRoot]-is[CausExt]-an[RecipExt]-a[VerbTerm]
ukusetshenziswa	u[NPrePre]-ku[BPre]-sebenz[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
ukusiza	u[NPrePre]-ku[BPre]-siz[VRoot]-a[VerbTerm]
ukuthatha	u[NPrePre]-ku[BPre]-thath[VRoot]-a[VerbTerm]
ukuthi	ukuthi[Conj]
ukuthola	u[NPrePre]-ku[BPre]-thol[VRoot]-a[VerbTerm]
ukuthuthukisa	u[NPrePre]-ku[BPre]-thuthuk[VRoot]-is[CausExt]-a[VerbTerm]
ukuthuthukiswa	u[NPrePre]-ku[BPre]-thuthuk[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
ukuze	ukuze[Conj]
ukwenziwa	u[NPrePre]-ku[BPre]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
ulaka	u[NPrePre]-laka[NStem]
uma	uma[Conj]
